f	k2	P	P_fit	P_n	P_s
0.4000	6.3165	3.4785e-01	2.5616e-01	9.1840e-04	2.5524e-01
0.4100	6.6363	3.5547e-01	2.5574e-01	9.1817e-04	2.5482e-01
0.4200	6.9640	3.6229e-01	2.5530e-01	9.1794e-04	2.5439e-01
0.4300	7.2996	3.6821e-01	2.5486e-01	9.1770e-04	2.5394e-01
0.4400	7.6430	3.7316e-01	2.5441e-01	9.1746e-04	2.5349e-01
0.4500	7.9944	3.7710e-01	2.5395e-01	9.1721e-04	2.5303e-01
0.4600	8.3536	3.8001e-01	2.5348e-01	9.1695e-04	2.5256e-01
0.4700	8.7208	3.8187e-01	2.5300e-01	9.1669e-04	2.5208e-01
0.4800	9.0958	3.8274e-01	2.5251e-01	9.1643e-04	2.5159e-01
0.4900	9.4788	3.8264e-01	2.5201e-01	9.1615e-04	2.5109e-01
0.5000	9.8696	3.8166e-01	2.5150e-01	9.1588e-04	2.5058e-01
0.5100	10.2683	3.7988e-01	2.5098e-01	9.1560e-04	2.5007e-01
0.5200	10.6750	3.7738e-01	2.5045e-01	9.1531e-04	2.4954e-01
0.5300	11.0895	3.7427e-01	2.4992e-01	9.1502e-04	2.4900e-01
0.5400	11.5119	3.7066e-01	2.4937e-01	9.1472e-04	2.4846e-01
0.5500	11.9422	3.6663e-01	2.4882e-01	9.1442e-04	2.4790e-01
0.5600	12.3804	3.6229e-01	2.4826e-01	9.1411e-04	2.4734e-01
0.5700	12.8265	3.5773e-01	2.4768e-01	9.1379e-04	2.4677e-01
0.5800	13.2805	3.5303e-01	2.4710e-01	9.1347e-04	2.4619e-01
0.5900	13.7424	3.4825e-01	2.4651e-01	9.1315e-04	2.4560e-01
0.6000	14.2122	3.4347e-01	2.4592e-01	9.1282e-04	2.4500e-01
0.6100	14.6899	3.3874e-01	2.4531e-01	9.1249e-04	2.4440e-01
0.6200	15.1755	3.3411e-01	2.4470e-01	9.1215e-04	2.4378e-01
0.6300	15.6690	3.2961e-01	2.4407e-01	9.1180e-04	2.4316e-01
0.6400	16.1704	3.2526e-01	2.4344e-01	9.1145e-04	2.4253e-01
0.6500	16.6796	3.2110e-01	2.4280e-01	9.1109e-04	2.4189e-01
0.6600	17.1968	3.1713e-01	2.4215e-01	9.1073e-04	2.4124e-01
0.6700	17.7219	3.1337e-01	2.4150e-01	9.1037e-04	2.4059e-01
0.6800	18.2548	3.0982e-01	2.4083e-01	9.1000e-04	2.3992e-01
0.6900	18.7957	3.0648e-01	2.4016e-01	9.0962e-04	2.3925e-01
0.7000	19.3444	3.0335e-01	2.3948e-01	9.0924e-04	2.3857e-01
0.7100	19.9011	3.0041e-01	2.3879e-01	9.0885e-04	2.3788e-01
0.7200	20.4656	2.9767e-01	2.3810e-01	9.0846e-04	2.3719e-01
0.7300	21.0380	2.9509e-01	2.3739e-01	9.0807e-04	2.3649e-01
0.7400	21.6184	2.9268e-01	2.3668e-01	9.0766e-04	2.3578e-01
0.7500	22.2066	2.9040e-01	2.3596e-01	9.0726e-04	2.3506e-01
0.7600	22.8027	2.8825e-01	2.3524e-01	9.0685e-04	2.3433e-01
0.7700	23.4068	2.8620e-01	2.3451e-01	9.0643e-04	2.3360e-01
0.7800	24.0187	2.8424e-01	2.3377e-01	9.0601e-04	2.3286e-01
0.7900	24.6385	2.8233e-01	2.3302e-01	9.0558e-04	2.3211e-01
0.8000	25.2662	2.8046e-01	2.3226e-01	9.0515e-04	2.3136e-01
0.8100	25.9018	2.7860e-01	2.3150e-01	9.0472e-04	2.3060e-01
0.8200	26.5453	2.7673e-01	2.3073e-01	9.0428e-04	2.2983e-01
0.8300	27.1967	2.7484e-01	2.2996e-01	9.0383e-04	2.2905e-01
0.8400	27.8560	2.7289e-01	2.2918e-01	9.0338e-04	2.2827e-01
0.8500	28.5232	2.7088e-01	2.2839e-01	9.0292e-04	2.2748e-01
0.8600	29.1982	2.6878e-01	2.2759e-01	9.0246e-04	2.2669e-01
0.8700	29.8812	2.6658e-01	2.2679e-01	9.0200e-04	2.2589e-01
0.8800	30.5721	2.6426e-01	2.2598e-01	9.0153e-04	2.2508e-01
0.8900	31.2709	2.6182e-01	2.2517e-01	9.0106e-04	2.2427e-01
0.9000	31.9775	2.5925e-01	2.2435e-01	9.0058e-04	2.2345e-01
0.9100	32.6921	2.5654e-01	2.2352e-01	9.0009e-04	2.2262e-01
0.9200	33.4145	2.5369e-01	2.2269e-01	8.9960e-04	2.2179e-01
0.9300	34.1449	2.5072e-01	2.2185e-01	8.9911e-04	2.2095e-01
0.9400	34.8831	2.4761e-01	2.2101e-01	8.9861e-04	2.2011e-01
0.9500	35.6293	2.4438e-01	2.2015e-01	8.9811e-04	2.1926e-01
0.9600	36.3833	2.4105e-01	2.1930e-01	8.9760e-04	2.1840e-01
0.9700	37.1452	2.3761e-01	2.1844e-01	8.9709e-04	2.1754e-01
0.9800	37.9151	2.3410e-01	2.1757e-01	8.9658e-04	2.1667e-01
0.9900	38.6928	2.3052e-01	2.1670e-01	8.9606e-04	2.1580e-01
1.0000	39.4784	2.2690e-01	2.1582e-01	8.9553e-04	2.1492e-01
1.0100	40.2719	2.2325e-01	2.1494e-01	8.9500e-04	2.1404e-01
1.0200	41.0733	2.1959e-01	2.1405e-01	8.9447e-04	2.1315e-01
1.0300	41.8827	2.1593e-01	2.1316e-01	8.9393e-04	2.1226e-01
1.0400	42.6999	2.1231e-01	2.1226e-01	8.9339e-04	2.1137e-01
1.0500	43.5250	2.0873e-01	2.1136e-01	8.9284e-04	2.1046e-01
1.0600	44.3580	2.0521e-01	2.1045e-01	8.9229e-04	2.0956e-01
1.0700	45.1988	2.0177e-01	2.0954e-01	8.9173e-04	2.0864e-01
1.0800	46.0476	1.9842e-01	2.0862e-01	8.9117e-04	2.0773e-01
1.0900	46.9043	1.9518e-01	2.0770e-01	8.9061e-04	2.0681e-01
1.1000	47.7689	1.9205e-01	2.0677e-01	8.9004e-04	2.0588e-01
1.1100	48.6414	1.8905e-01	2.0584e-01	8.8947e-04	2.0495e-01
1.1200	49.5217	1.8619e-01	2.0491e-01	8.8889e-04	2.0402e-01
1.1300	50.4100	1.8347e-01	2.0397e-01	8.8831e-04	2.0308e-01
1.1400	51.3062	1.8089e-01	2.0303e-01	8.8772e-04	2.0214e-01
1.1500	52.2102	1.7848e-01	2.0208e-01	8.8713e-04	2.0120e-01
1.1600	53.1222	1.7622e-01	2.0113e-01	8.8654e-04	2.0025e-01
1.1700	54.0420	1.7412e-01	2.0018e-01	8.8594e-04	1.9930e-01
1.1800	54.9697	1.7219e-01	1.9922e-01	8.8534e-04	1.9834e-01
1.1900	55.9054	1.7043e-01	1.9826e-01	8.8473e-04	1.9738e-01
1.2000	56.8489	1.6883e-01	1.9730e-01	8.8412e-04	1.9642e-01
1.2100	57.8004	1.6740e-01	1.9633e-01	8.8351e-04	1.9545e-01
1.2200	58.7597	1.6614e-01	1.9536e-01	8.8289e-04	1.9448e-01
1.2300	59.7269	1.6504e-01	1.9439e-01	8.8227e-04	1.9351e-01
1.2400	60.7020	1.6411e-01	1.9341e-01	8.8164e-04	1.9253e-01
1.2500	61.6850	1.6334e-01	1.9243e-01	8.8101e-04	1.9155e-01
1.2600	62.6759	1.6273e-01	1.9145e-01	8.8038e-04	1.9057e-01
1.2700	63.6747	1.6227e-01	1.9047e-01	8.7974e-04	1.8959e-01
1.2800	64.6814	1.6198e-01	1.8948e-01	8.7910e-04	1.8860e-01
1.2900	65.6960	1.6183e-01	1.8849e-01	8.7845e-04	1.8761e-01
1.3000	66.7185	1.6182e-01	1.8750e-01	8.7780e-04	1.8662e-01
1.3100	67.7489	1.6196e-01	1.8650e-01	8.7715e-04	1.8562e-01
1.3200	68.7872	1.6223e-01	1.8550e-01	8.7649e-04	1.8463e-01
1.3300	69.8334	1.6264e-01	1.8451e-01	8.7583e-04	1.8363e-01
1.3400	70.8874	1.6316e-01	1.8350e-01	8.7517e-04	1.8263e-01
1.3500	71.9494	1.6379e-01	1.8250e-01	8.7450e-04	1.8163e-01
1.3600	73.0193	1.6453e-01	1.8150e-01	8.7383e-04	1.8062e-01
1.3700	74.0970	1.6536e-01	1.8049e-01	8.7316e-04	1.7961e-01
1.3800	75.1827	1.6628e-01	1.7948e-01	8.7248e-04	1.7861e-01
1.3900	76.2763	1.6727e-01	1.7847e-01	8.7180e-04	1.7760e-01
1.4000	77.3777	1.6831e-01	1.7746e-01	8.7111e-04	1.7659e-01
1.4100	78.4870	1.6940e-01	1.7644e-01	8.7042e-04	1.7557e-01
1.4200	79.6043	1.7051e-01	1.7543e-01	8.6973e-04	1.7456e-01
1.4300	80.7294	1.7163e-01	1.7441e-01	8.6903e-04	1.7354e-01
1.4400	81.8624	1.7275e-01	1.7340e-01	8.6833e-04	1.7253e-01
1.4500	83.0034	1.7384e-01	1.7238e-01	8.6763e-04	1.7151e-01
1.4600	84.1522	1.7488e-01	1.7136e-01	8.6692e-04	1.7049e-01
1.4700	85.3089	1.7586e-01	1.7034e-01	8.6621e-04	1.6947e-01
1.4800	86.4735	1.7676e-01	1.6932e-01	8.6550e-04	1.6845e-01
1.4900	87.6460	1.7755e-01	1.6830e-01	8.6478e-04	1.6743e-01
1.5000	88.8264	1.7823e-01	1.6727e-01	8.6406e-04	1.6641e-01
1.5100	90.0147	1.7877e-01	1.6625e-01	8.6334e-04	1.6539e-01
1.5200	91.2109	1.7916e-01	1.6523e-01	8.6262e-04	1.6437e-01
1.5300	92.4150	1.7939e-01	1.6420e-01	8.6189e-04	1.6334e-01
1.5400	93.6270	1.7944e-01	1.6318e-01	8.6115e-04	1.6232e-01
1.5500	94.8469	1.7931e-01	1.6216e-01	8.6042e-04	1.6130e-01
1.5600	96.0747	1.7900e-01	1.6113e-01	8.5968e-04	1.6027e-01
1.5700	97.3104	1.7850e-01	1.6011e-01	8.5894e-04	1.5925e-01
1.5800	98.5539	1.7782e-01	1.5908e-01	8.5819e-04	1.5823e-01
1.5900	99.8054	1.7696e-01	1.5806e-01	8.5745e-04	1.5720e-01
1.6000	101.0647	1.7593e-01	1.5704e-01	8.5670e-04	1.5618e-01
1.6100	102.3320	1.7475e-01	1.5601e-01	8.5594e-04	1.5516e-01
1.6200	103.6072	1.7342e-01	1.5499e-01	8.5519e-04	1.5413e-01
1.6300	104.8902	1.7196e-01	1.5397e-01	8.5443e-04	1.5311e-01
1.6400	106.1812	1.7039e-01	1.5295e-01	8.5366e-04	1.5209e-01
1.6500	107.4800	1.6872e-01	1.5192e-01	8.5290e-04	1.5107e-01
1.6600	108.7867	1.6699e-01	1.5090e-01	8.5213e-04	1.5005e-01
1.6700	110.1014	1.6520e-01	1.4988e-01	8.5136e-04	1.4903e-01
1.6800	111.4239	1.6337e-01	1.4886e-01	8.5059e-04	1.4801e-01
1.6900	112.7543	1.6154e-01	1.4785e-01	8.4981e-04	1.4700e-01
1.7000	114.0926	1.5970e-01	1.4683e-01	8.4903e-04	1.4598e-01
1.7100	115.4388	1.5789e-01	1.4581e-01	8.4825e-04	1.4496e-01
1.7200	116.7930	1.5612e-01	1.4480e-01	8.4746e-04	1.4395e-01
1.7300	118.1550	1.5439e-01	1.4378e-01	8.4668e-04	1.4294e-01
1.7400	119.5249	1.5274e-01	1.4277e-01	8.4589e-04	1.4193e-01
1.7500	120.9027	1.5116e-01	1.4176e-01	8.4509e-04	1.4092e-01
1.7600	122.2883	1.4967e-01	1.4075e-01	8.4430e-04	1.3991e-01
1.7700	123.6819	1.4828e-01	1.3974e-01	8.4350e-04	1.3890e-01
1.7800	125.0834	1.4700e-01	1.3874e-01	8.4270e-04	1.3789e-01
1.7900	126.4928	1.4583e-01	1.3773e-01	8.4190e-04	1.3689e-01
1.8000	127.9101	1.4478e-01	1.3673e-01	8.4109e-04	1.3589e-01
1.8100	129.3352	1.4385e-01	1.3573e-01	8.4028e-04	1.3489e-01
1.8200	130.7683	1.4304e-01	1.3473e-01	8.3947e-04	1.3389e-01
1.8300	132.2093	1.4237e-01	1.3373e-01	8.3866e-04	1.3289e-01
1.8400	133.6581	1.4182e-01	1.3274e-01	8.3785e-04	1.3190e-01
1.8500	135.1149	1.4141e-01	1.3174e-01	8.3703e-04	1.3091e-01
1.8600	136.5795	1.4112e-01	1.3075e-01	8.3621e-04	1.2992e-01
1.8700	138.0521	1.4095e-01	1.2976e-01	8.3539e-04	1.2893e-01
1.8800	139.5325	1.4091e-01	1.2878e-01	8.3456e-04	1.2794e-01
1.8900	141.0209	1.4098e-01	1.2779e-01	8.3374e-04	1.2696e-01
1.9000	142.5171	1.4116e-01	1.2681e-01	8.3291e-04	1.2598e-01
1.9100	144.0212	1.4144e-01	1.2583e-01	8.3208e-04	1.2500e-01
1.9200	145.5332	1.4182e-01	1.2485e-01	8.3125e-04	1.2402e-01
1.9300	147.0532	1.4228e-01	1.2388e-01	8.3041e-04	1.2305e-01
1.9400	148.5810	1.4280e-01	1.2291e-01	8.2957e-04	1.2208e-01
1.9500	150.1167	1.4338e-01	1.2194e-01	8.2873e-04	1.2111e-01
1.9600	151.6603	1.4400e-01	1.2097e-01	8.2789e-04	1.2015e-01
1.9700	153.2118	1.4463e-01	1.2001e-01	8.2705e-04	1.1918e-01
1.9800	154.7712	1.4526e-01	1.1905e-01	8.2621e-04	1.1822e-01
1.9900	156.3385	1.4587e-01	1.1809e-01	8.2536e-04	1.1727e-01
2.0000	157.9137	1.4642e-01	1.1714e-01	8.2451e-04	1.1631e-01
2.0100	159.4968	1.4689e-01	1.1619e-01	8.2366e-04	1.1536e-01
2.0200	161.0877	1.4726e-01	1.1524e-01	8.2280e-04	1.1441e-01
2.0300	162.6866	1.4749e-01	1.1429e-01	8.2195e-04	1.1347e-01
2.0400	164.2934	1.4756e-01	1.1335e-01	8.2109e-04	1.1253e-01
2.0500	165.9080	1.4745e-01	1.1241e-01	8.2023e-04	1.1159e-01
2.0600	167.5306	1.4712e-01	1.1148e-01	8.1937e-04	1.1066e-01
2.0700	169.1611	1.4656e-01	1.1054e-01	8.1851e-04	1.0972e-01
2.0800	170.7994	1.4574e-01	1.0961e-01	8.1765e-04	1.0880e-01
2.0900	172.4457	1.4467e-01	1.0869e-01	8.1678e-04	1.0787e-01
2.1000	174.0998	1.4332e-01	1.0777e-01	8.1592e-04	1.0695e-01
2.1100	175.7619	1.4169e-01	1.0685e-01	8.1505e-04	1.0603e-01
2.1200	177.4318	1.3980e-01	1.0593e-01	8.1418e-04	1.0512e-01
2.1300	179.1096	1.3765e-01	1.0502e-01	8.1330e-04	1.0421e-01
2.1400	180.7954	1.3525e-01	1.0411e-01	8.1243e-04	1.0330e-01
2.1500	182.4890	1.3264e-01	1.0321e-01	8.1156e-04	1.0240e-01
2.1600	184.1905	1.2983e-01	1.0231e-01	8.1068e-04	1.0150e-01
2.1700	185.8999	1.2685e-01	1.0141e-01	8.0980e-04	1.0060e-01
2.1800	187.6172	1.2374e-01	1.0052e-01	8.0892e-04	9.9713e-02
2.1900	189.3424	1.2053e-01	9.9633e-02	8.0804e-04	9.8825e-02
2.2000	191.0755	1.1725e-01	9.8748e-02	8.0716e-04	9.7941e-02
2.2100	192.8165	1.1393e-01	9.7867e-02	8.0627e-04	9.7061e-02
2.2200	194.5654	1.1060e-01	9.6990e-02	8.0539e-04	9.6185e-02
2.2300	196.3222	1.0730e-01	9.6117e-02	8.0450e-04	9.5313e-02
2.2400	198.0869	1.0404e-01	9.5249e-02	8.0361e-04	9.4445e-02
2.2500	199.8595	1.0084e-01	9.4384e-02	8.0272e-04	9.3581e-02
2.2600	201.6400	9.7734e-02	9.3523e-02	8.0183e-04	9.2721e-02
2.2700	203.4283	9.4727e-02	9.2666e-02	8.0094e-04	9.1866e-02
2.2800	205.2246	9.1834e-02	9.1814e-02	8.0004e-04	9.1014e-02
2.2900	207.0288	8.9065e-02	9.0966e-02	7.9915e-04	9.0167e-02
2.3000	208.8408	8.6428e-02	9.0122e-02	7.9825e-04	8.9324e-02
2.3100	210.6608	8.3928e-02	8.9282e-02	7.9736e-04	8.8485e-02
2.3200	212.4886	8.1569e-02	8.8447e-02	7.9646e-04	8.7650e-02
2.3300	214.3244	7.9353e-02	8.7616e-02	7.9556e-04	8.6820e-02
2.3400	216.1680	7.7280e-02	8.6789e-02	7.9466e-04	8.5994e-02
2.3500	218.0196	7.5350e-02	8.5966e-02	7.9376e-04	8.5173e-02
2.3600	219.8790	7.3562e-02	8.5148e-02	7.9285e-04	8.4356e-02
2.3700	221.7463	7.1915e-02	8.4335e-02	7.9195e-04	8.3543e-02
2.3800	223.6215	7.0405e-02	8.3526e-02	7.9105e-04	8.2735e-02
2.3900	225.5047	6.9031e-02	8.2721e-02	7.9014e-04	8.1931e-02
2.4000	227.3957	6.7789e-02	8.1921e-02	7.8923e-04	8.1132e-02
2.4100	229.2946	6.6677e-02	8.1125e-02	7.8833e-04	8.0337e-02
2.4200	231.2014	6.5693e-02	8.0334e-02	7.8742e-04	7.9547e-02
2.4300	233.1161	6.4833e-02	7.9547e-02	7.8651e-04	7.8761e-02
2.4400	235.0387	6.4095e-02	7.8765e-02	7.8560e-04	7.7980e-02
2.4500	236.9692	6.3477e-02	7.7988e-02	7.8469e-04	7.7203e-02
2.4600	238.9076	6.2978e-02	7.7215e-02	7.8377e-04	7.6431e-02
2.4700	240.8539	6.2594e-02	7.6447e-02	7.8286e-04	7.5664e-02
2.4800	242.8081	6.2325e-02	7.5683e-02	7.8195e-04	7.4901e-02
2.4900	244.7701	6.2169e-02	7.4924e-02	7.8103e-04	7.4143e-02
2.5000	246.7401	6.2126e-02	7.4170e-02	7.8012e-04	7.3390e-02
2.5100	248.7180	6.2193e-02	7.3420e-02	7.7920e-04	7.2641e-02
2.5200	250.7037	6.2370e-02	7.2675e-02	7.7829e-04	7.1897e-02
2.5300	252.6974	6.2656e-02	7.1935e-02	7.7737e-04	7.1158e-02
2.5400	254.6990	6.3051e-02	7.1200e-02	7.7645e-04	7.0423e-02
2.5500	256.7084	6.3552e-02	7.0469e-02	7.7553e-04	6.9694e-02
2.5600	258.7258	6.4158e-02	6.9743e-02	7.7461e-04	6.8968e-02
2.5700	260.7510	6.4868e-02	6.9022e-02	7.7369e-04	6.8248e-02
2.5800	262.7841	6.5677e-02	6.8305e-02	7.7277e-04	6.7532e-02
2.5900	264.8252	6.6584e-02	6.7594e-02	7.7185e-04	6.6822e-02
2.6000	266.8741	6.7581e-02	6.6887e-02	7.7093e-04	6.6116e-02
2.6100	268.9309	6.8664e-02	6.6184e-02	7.7001e-04	6.5414e-02
2.6200	270.9956	6.9822e-02	6.5487e-02	7.6909e-04	6.4718e-02
2.6300	273.0683	7.1047e-02	6.4794e-02	7.6816e-04	6.4026e-02
2.6400	275.1488	7.2323e-02	6.4107e-02	7.6724e-04	6.3339e-02
2.6500	277.2372	7.3635e-02	6.3424e-02	7.6632e-04	6.2657e-02
2.6600	279.3335	7.4962e-02	6.2745e-02	7.6539e-04	6.1980e-02
2.6700	281.4377	7.6282e-02	6.2072e-02	7.6447e-04	6.1308e-02
2.6800	283.5498	7.7567e-02	6.1403e-02	7.6354e-04	6.0640e-02
2.6900	285.6698	7.8788e-02	6.0740e-02	7.6262e-04	5.9977e-02
2.7000	287.7977	7.9910e-02	6.0081e-02	7.6169e-04	5.9319e-02
2.7100	289.9334	8.0900e-02	5.9427e-02	7.6076e-04	5.8666e-02
2.7200	292.0771	8.1721e-02	5.8777e-02	7.5984e-04	5.8018e-02
2.7300	294.2287	8.2336e-02	5.8133e-02	7.5891e-04	5.7374e-02
2.7400	296.3882	8.2714e-02	5.7493e-02	7.5799e-04	5.6735e-02
2.7500	298.5555	8.2824e-02	5.6858e-02	7.5706e-04	5.6101e-02
2.7600	300.7308	8.2645e-02	5.6228e-02	7.5613e-04	5.5472e-02
2.7700	302.9140	8.2161e-02	5.5603e-02	7.5520e-04	5.4848e-02
2.7800	305.1050	8.1367e-02	5.4983e-02	7.5428e-04	5.4228e-02
2.7900	307.3040	8.0268e-02	5.4367e-02	7.5335e-04	5.3614e-02
2.8000	309.5108	7.8878e-02	5.3756e-02	7.5242e-04	5.3004e-02
2.8100	311.7255	7.7221e-02	5.3150e-02	7.5149e-04	5.2399e-02
2.8200	313.9482	7.5327e-02	5.2549e-02	7.5056e-04	5.1798e-02
2.8300	316.1787	7.3234e-02	5.1953e-02	7.4964e-04	5.1203e-02
2.8400	318.4171	7.0982e-02	5.1361e-02	7.4871e-04	5.0612e-02
2.8500	320.6634	6.8612e-02	5.0774e-02	7.4778e-04	5.0026e-02
2.8600	322.9177	6.6166e-02	5.0192e-02	7.4685e-04	4.9445e-02
2.8700	325.1798	6.3682e-02	4.9614e-02	7.4592e-04	4.8868e-02
2.8800	327.4498	6.1195e-02	4.9042e-02	7.4499e-04	4.8297e-02
2.8900	329.7277	5.8734e-02	4.8474e-02	7.4406e-04	4.7730e-02
2.9000	332.0135	5.6327e-02	4.7911e-02	7.4314e-04	4.7167e-02
2.9100	334.3072	5.3993e-02	4.7352e-02	7.4221e-04	4.6610e-02
2.9200	336.6088	5.1748e-02	4.6798e-02	7.4128e-04	4.6057e-02
2.9300	338.9183	4.9606e-02	4.6249e-02	7.4035e-04	4.5509e-02
2.9400	341.2357	4.7574e-02	4.5705e-02	7.3942e-04	4.4965e-02
2.9500	343.5609	4.5658e-02	4.5165e-02	7.3850e-04	4.4427e-02
2.9600	345.8941	4.3860e-02	4.4630e-02	7.3757e-04	4.3893e-02
2.9700	348.2352	4.2180e-02	4.4100e-02	7.3664e-04	4.3363e-02
2.9800	350.5841	4.0619e-02	4.3574e-02	7.3571e-04	4.2838e-02
2.9900	352.9410	3.9173e-02	4.3053e-02	7.3479e-04	4.2318e-02
3.0000	355.3058	3.7840e-02	4.2536e-02	7.3386e-04	4.1802e-02
3.0100	357.6784	3.6617e-02	4.2024e-02	7.3293e-04	4.1291e-02
3.0200	360.0590	3.5499e-02	4.1517e-02	7.3201e-04	4.0785e-02
3.0300	362.4474	3.4482e-02	4.1014e-02	7.3108e-04	4.0283e-02
3.0400	364.8437	3.3563e-02	4.0516e-02	7.3015e-04	3.9786e-02
3.0500	367.2480	3.2738e-02	4.0022e-02	7.2923e-04	3.9293e-02
3.0600	369.6601	3.2003e-02	3.9533e-02	7.2830e-04	3.8804e-02
3.0700	372.0801	3.1354e-02	3.9048e-02	7.2738e-04	3.8321e-02
3.0800	374.5081	3.0790e-02	3.8568e-02	7.2645e-04	3.7841e-02
3.0900	376.9439	3.0307e-02	3.8092e-02	7.2553e-04	3.7366e-02
3.1000	379.3876	2.9903e-02	3.7621e-02	7.2460e-04	3.6896e-02
3.1100	381.8392	2.9576e-02	3.7154e-02	7.2368e-04	3.6430e-02
3.1200	384.2987	2.9325e-02	3.6691e-02	7.2276e-04	3.5968e-02
3.1300	386.7661	2.9149e-02	3.6233e-02	7.2183e-04	3.5511e-02
3.1400	389.2414	2.9049e-02	3.5779e-02	7.2091e-04	3.5059e-02
3.1500	391.7246	2.9023e-02	3.5330e-02	7.1999e-04	3.4610e-02
3.1600	394.2157	2.9072e-02	3.4885e-02	7.1907e-04	3.4166e-02
3.1700	396.7147	2.9198e-02	3.4444e-02	7.1815e-04	3.3726e-02
3.1800	399.2216	2.9402e-02	3.4008e-02	7.1723e-04	3.3291e-02
3.1900	401.7363	2.9686e-02	3.3576e-02	7.1631e-04	3.2860e-02
3.2000	404.2590	3.0052e-02	3.3148e-02	7.1539e-04	3.2433e-02
3.2100	406.7896	3.0504e-02	3.2724e-02	7.1447e-04	3.2010e-02
3.2200	409.3280	3.1044e-02	3.2305e-02	7.1355e-04	3.1591e-02
3.2300	411.8744	3.1677e-02	3.1890e-02	7.1263e-04	3.1177e-02
3.2400	414.4286	3.2406e-02	3.1479e-02	7.1171e-04	3.0767e-02
3.2500	416.9908	3.3235e-02	3.1072e-02	7.1080e-04	3.0361e-02
3.2600	419.5608	3.4168e-02	3.0669e-02	7.0988e-04	2.9959e-02
3.2700	422.1388	3.5208e-02	3.0270e-02	7.0897e-04	2.9561e-02
3.2800	424.7246	3.6358e-02	2.9876e-02	7.0805e-04	2.9168e-02
3.2900	427.3183	3.7617e-02	2.9485e-02	7.0714e-04	2.8778e-02
3.3000	429.9200	3.8985e-02	2.9099e-02	7.0622e-04	2.8393e-02
3.3100	432.5295	4.0456e-02	2.8716e-02	7.0531e-04	2.8011e-02
