sigma_18, sigma_D, sigma_17, diff1, diff2, diff2_17O, divis
8.538032373031691213e-02 7.780721302582822851e-02 8.640258825971344758e-02 1.235837281447103517e-03 1.073154985525905233e-03 1.223151894678074260e-03 1.204136927193758533e+00
8.176411376353207028e-02 7.599798589075879018e-02 8.493262474643621662e-02 9.096764400838425191e-04 1.125976047075469061e-03 1.369827426960883209e-03 1.157500806348167099e+00
8.387425658361631620e-02 7.748946608070726716e-02 8.694336367483894434e-02 1.030273563981222787e-03 1.070479163538338302e-03 1.061535428663143562e-03 1.171580219576408233e+00
8.555254759881662785e-02 7.873660230507767421e-02 8.558677351011213796e-02 1.119785858099821979e-03 1.123849376281846942e-03 1.223819229752152972e-03 1.180626571526200097e+00
8.527779663606711857e-02 7.854601937859649607e-02 8.634948770541565899e-02 1.102825438879563753e-03 1.064277877844256462e-03 1.194445186476530757e-03 1.178755089003316270e+00
8.565780273944439971e-02 7.897224305137105771e-02 8.789271566703139860e-02 1.100643997584744085e-03 1.038675455345145025e-03 1.210289241715155730e-03 1.176480986421373442e+00
8.119151421415879422e-02 7.582053793403906172e-02 8.443799597368976950e-02 8.433080077808931957e-04 8.863153574471723797e-04 1.173670618104263657e-03 1.146694050884639493e+00
8.535670550867043016e-02 7.720819352727399665e-02 8.558207131891658326e-02 1.324662027548894477e-03 1.212576873121897630e-03 1.361013033550017258e-03 1.222217524220319484e+00
8.635932490535873363e-02 7.805513857579370052e-02 8.765729738559852047e-02 1.365328340022955826e-03 7.986767409944383429e-04 1.152767074853584990e-03 1.224096001077443097e+00
8.334236045467638410e-02 7.604325261758708432e-02 8.512692873150781714e-02 1.163372777495040762e-03 1.183590139808140965e-03 1.172740449978863005e-03 1.201185894218079309e+00
8.241102536961719682e-02 7.714409905717535543e-02 8.510916634880151543e-02 8.403650831284052367e-04 1.119535408659255368e-03 1.201118438065936324e-03 1.141209064707652487e+00
8.449465916396299570e-02 7.909927715353584632e-02 8.754038309873336809e-02 8.826517810223977190e-04 1.109847487725221064e-03 1.280385261594836274e-03 1.141073152816183489e+00
8.933943504111183098e-02 8.046131931298437789e-02 8.846933894397973619e-02 1.507510747879007955e-03 8.630262528077195560e-04 1.114869907227271709e-03 1.232855295232733184e+00
8.420733510334106608e-02 7.775369698871893720e-02 8.619062539532670875e-02 1.045237889792856659e-03 1.124353069942713975e-03 1.226084657498634645e-03 1.172891263803849560e+00
8.575224440160436612e-02 7.976459682330583334e-02 8.804627779638178608e-02 9.910565135279568449e-04 9.360108821295955303e-04 1.287971035351039538e-03 1.155767938202830525e+00
8.628221242298698967e-02 7.947281636474294586e-02 8.780297755946228633e-02 1.128691639661296396e-03 1.156154435875254025e-03 1.258210872399971765e-03 1.178705574698058589e+00
8.461129338274252232e-02 7.936239924440706417e-02 8.746694339160457354e-02 8.606805540718655972e-04 1.040663350964349211e-03 1.393730850687530110e-03 1.136650873877580903e+00
8.294171115121073967e-02 7.515723498965772020e-02 8.426223245769837167e-02 1.230717477400245299e-03 9.792261465911150393e-04 1.262061808786640827e-03 1.217879705565693804e+00
8.442281449525640413e-02 7.847302791915300446e-02 8.638331670523899386e-02 9.691954965003078334e-04 1.098276130705053795e-03 1.343052973214393150e-03 1.157387619496560882e+00
8.447343143083992090e-02 7.873252005266181963e-02 8.638306900578081315e-02 9.369509038580185745e-04 1.033141656961406724e-03 1.142213046634916627e-03 1.151150131575369828e+00
8.289359140281005178e-02 7.438774781812014514e-02 8.384785189397930827e-02 1.337810470203786538e-03 1.095455518069411108e-03 1.321690175958235109e-03 1.241764076765069058e+00
8.391019065168663082e-02 7.955200063656518716e-02 8.606449223803515347e-02 7.123992899223299119e-04 1.070320413281044191e-03 1.315962777875643187e-03 1.112569637019752644e+00
8.653148290834976331e-02 8.138159158395620596e-02 8.804391814795960169e-02 8.647340855801755738e-04 1.047760376644239029e-03 1.230061274026583501e-03 1.130566036227327986e+00
8.319146144758618466e-02 7.601230562987074113e-02 8.476140473486164229e-02 1.142948650616338983e-03 1.095864271500515425e-03 1.172889303110055161e-03 1.197814857466386940e+00
8.650473911756305367e-02 7.823254488524936101e-02 8.591620208978968665e-02 1.362738810575087577e-03 9.628355511796300335e-04 1.181754285000671855e-03 1.222657694973617648e+00
7.990853856755021634e-02 7.470294571577762444e-02 8.383949331038906272e-02 8.048444373872417484e-04 8.847642989779848539e-04 1.157056508040691604e-03 1.144223653159235798e+00
8.461388948172575419e-02 7.634478893409164801e-02 8.421581163092525801e-02 1.330983495834697078e-03 9.342263012343649496e-04 1.167978103265744985e-03 1.228356760138853421e+00
8.588476390331833965e-02 7.858770413802722288e-02 8.651193520139507931e-02 1.200165429042631716e-03 1.047803033205595971e-03 1.166058709925871326e-03 1.194326446771788897e+00
8.336541231634030102e-02 7.800123749347452617e-02 8.572974343088844706e-02 8.655989201600067587e-04 9.677221305590457410e-04 1.205129514979327073e-03 1.142270127356817433e+00
8.479952195436098183e-02 7.970748208569328197e-02 8.757693656105575153e-02 8.376762232470344460e-04 9.977723688331695869e-04 1.209924079060816947e-03 1.131849354537438401e+00
8.031782713926310935e-02 7.761648978087232198e-02 8.424536452822529997e-02 4.266338704682912444e-04 8.864166368174603147e-04 1.095230863835999898e-03 1.070818599754965073e+00
8.483352166522672988e-02 7.758422553399367538e-02 8.612425095739245640e-02 1.177414346414896659e-03 1.030446872824750809e-03 1.355787585645512995e-03 1.195606131780539538e+00
8.276554905530078554e-02 7.603485231753183415e-02 8.380262522822040649e-02 1.068837343476525432e-03 9.745340110020866021e-04 1.123019097495207928e-03 1.184878413408932518e+00
8.493038132996427736e-02 7.693478158652641841e-02 8.705035901535987386e-02 1.294209055086620319e-03 1.220986911906972753e-03 1.342658572592260327e-03 1.218654783950054554e+00
8.047648941082800877e-02 7.676184407168985813e-02 8.337436514635458706e-02 5.840846426046850809e-04 1.001909276321778005e-03 1.270308784982101397e-03 1.099125408186994113e+00
8.865068883956880863e-02 7.951820569243123193e-02 8.903741380054824850e-02 1.535799595186247528e-03 1.129198470840047383e-03 1.241550759976035780e-03 1.242885397426484850e+00
8.524236470223027495e-02 7.840680448137764269e-02 8.667709010083617105e-02 1.118633751047052628e-03 1.139255474997927968e-03 1.348395497890268356e-03 1.181961877819212914e+00
8.456759292155600904e-02 7.894566524015042552e-02 8.596683646200163620e-02 9.192597123361149689e-04 1.093402236517688076e-03 1.250824837733210265e-03 1.147496477844613061e+00
8.386945449824252663e-02 7.776933633934871026e-02 8.625269433083543325e-02 9.860157231700297439e-04 1.115645406485323444e-03 1.299617036999752093e-03 1.163029822110144940e+00
8.458617816415081592e-02 7.695031670480594055e-02 8.609122950768353932e-02 1.233470295447528821e-03 9.643202428067494886e-04 1.252852444246391021e-03 1.208308922279956343e+00
8.213920690750728393e-02 7.793396341103796254e-02 8.641859954852564030e-02 6.731466584412888060e-04 1.011983903958392885e-03 1.153116972095887980e-03 1.110829702556151322e+00
8.443233033380759256e-02 7.853530208846372374e-02 8.568783288189939229e-02 9.610247314709510769e-04 1.104273548761476381e-03 1.203544770642734924e-03 1.155813372211594414e+00
8.513459432514802749e-02 7.861202922729000619e-02 8.648891347142692587e-02 1.068048011675228753e-03 1.026305207550040881e-03 1.220813411473619346e-03 1.172827465842147809e+00
8.081992952389442653e-02 7.525871213162481366e-02 8.436069336434670607e-02 8.679872565364905868e-04 1.026216129663969382e-03 1.246994807673371727e-03 1.153249753540907419e+00
8.263008975365136732e-02 7.733807787504445863e-02 8.317370879766142200e-02 8.465534432900399808e-04 1.083361588341031842e-03 1.259333609339891545e-03 1.141536232883980873e+00
8.504924935745550307e-02 8.035817161122522923e-02 8.633116652137323710e-02 7.759390715675208022e-04 1.038780457601144258e-03 1.264763370005605710e-03 1.120162104935304326e+00
8.418306516268303508e-02 7.648953650327111609e-02 8.472016443266795760e-02 1.236139265699293978e-03 9.649748461140381615e-04 1.287029419549429350e-03 1.211282410653584440e+00
8.484666123995825149e-02 7.855258875865474277e-02 8.738358753001139456e-02 1.028446722881902475e-03 1.112650848980280792e-03 1.273631943423567461e-03 1.166671289100016384e+00
8.394544823066456274e-02 7.625298628313514904e-02 8.542259696062372287e-02 1.232320361551186849e-03 1.167803676531871783e-03 1.181652778927029480e-03 1.211938526825738549e+00
8.472837664499302535e-02 7.906751044129997630e-02 8.651988219859770013e-02 9.272266015107185830e-04 9.921729237839750290e-04 1.090578386707252842e-03 1.148316597394851479e+00
8.575679097272612128e-02 7.789098988215503727e-02 8.695019872051833187e-02 1.287220893117862162e-03 1.027267642577737224e-03 1.291039513095763912e-03 1.212167390051135385e+00
8.757492688577431239e-02 7.991208363844373719e-02 9.065770769627251591e-02 1.283426707611089353e-03 1.051925568408748016e-03 1.185544474954310654e-03 1.200976909309794616e+00
8.740934103575236092e-02 8.138728946861227553e-02 8.853497876382976361e-02 1.016502013256774875e-03 1.027182712901140429e-03 1.325631604412612482e-03 1.153459957386139267e+00
8.537809290424815123e-02 7.888008716660781239e-02 8.643124715320403550e-02 1.067350596554781164e-03 9.168119934711805533e-04 1.235422039525164951e-03 1.171542736366946391e+00
8.414557978087400247e-02 7.837449533104205723e-02 8.586116623942555148e-02 9.379170782638978840e-04 1.080573820827124623e-03 1.183784611621449675e-03 1.152691523797532369e+00
8.582043826403068509e-02 7.733692826998612990e-02 8.776368399252329477e-02 1.384147149593322607e-03 9.360888843007513990e-04 1.165061756755197573e-03 1.231424016024660784e+00
8.657006841145983844e-02 7.812028138753125683e-02 8.746085054456105567e-02 1.391598380697773620e-03 9.869698468480628956e-04 1.236381737603167502e-03 1.228027022723199968e+00
8.492271943479676177e-02 7.726287022504044200e-02 8.704757614648783726e-02 1.242317160789766645e-03 1.123443374198864831e-03 1.280408398448889574e-03 1.208108974489305876e+00
8.641906481452393818e-02 7.657087763911571421e-02 8.516392833226274495e-02 1.605155460992458219e-03 9.849433341953134097e-04 1.195843086592234721e-03 1.273772518287165312e+00
8.210233656428481130e-02 7.593052258142746203e-02 8.452533490127761562e-02 9.753494098264326936e-04 1.191624904637969421e-03 1.334438346827681882e-03 1.169171596485599540e+00
8.360923382299272066e-02 7.651304342931780633e-02 8.509495348887834154e-02 1.136258165651196986e-03 1.006523781857599550e-03 1.237948049372556173e-03 1.194091297426461029e+00
8.248224175653409707e-02 7.672715982993598416e-02 8.515296352303665384e-02 9.162631496147950055e-04 1.108466396324779427e-03 1.246825648212473298e-03 1.155640269996721869e+00
8.736301610502907045e-02 7.678693114267927389e-02 8.443855047923416735e-02 1.736063788657000312e-03 1.257179608443234576e-03 1.437825589336672342e-03 1.294436100001372880e+00
8.167749565054754912e-02 7.516874516583238464e-02 8.261486032056965245e-02 1.020873045939363691e-03 1.073555825146922920e-03 1.353159915482323675e-03 1.180674614413608436e+00
8.655001388196162382e-02 8.061673952021622402e-02 8.771164756516543204e-02 9.918462120973572591e-04 1.177397455104809473e-03 1.240871860091953332e-03 1.152613825982316653e+00
8.809505314582526114e-02 7.900773076816318408e-02 8.766034991639605478e-02 1.518516867631217876e-03 9.811256210211461923e-04 1.092534213007240358e-03 1.243265456454871076e+00
8.485706453154236162e-02 7.685254114001603687e-02 8.645911670158161477e-02 1.294408321232487155e-03 1.020655228017597295e-03 1.362681783281436809e-03 1.219156740215181278e+00
8.288689790595590856e-02 7.664942067627723843e-02 8.559575636163573031e-02 9.951041544634412969e-04 1.079009911814771171e-03 1.140868745257376821e-03 1.169375576279342743e+00
8.714226177968745213e-02 7.900881131697504167e-02 8.858842644996997584e-02 1.351381522358212697e-03 9.184127539624389923e-04 1.209031452403272998e-03 1.216484556694555685e+00
8.652232277335844546e-02 8.082518244878426905e-02 8.750907800809966386e-02 9.534022202179566127e-04 1.050418742311572898e-03 1.181184156163383276e-03 1.145942832762256947e+00
8.406498562497563554e-02 7.789999752061524396e-02 8.552249139885996498e-02 9.985121944154993351e-04 9.094919898628552133e-04 1.155023861189663449e-03 1.164542649223828441e+00
8.469954761435664892e-02 7.828071714240064649e-02 8.680748062449611391e-02 1.046142689748130912e-03 1.055740693581175890e-03 1.321627839231819803e-03 1.170718793689510040e+00
8.488448755996932937e-02 7.770648881217688542e-02 8.626153108696886507e-02 1.167077824801615767e-03 1.100072596346711928e-03 1.231954220077319164e-03 1.193279256308674263e+00
8.358945236955361846e-02 7.631340234908384756e-02 8.577512644255266827e-02 1.163461169348717524e-03 9.509833886928636742e-04 1.293652150467286153e-03 1.199779195621636374e+00
8.404842024033899739e-02 7.898014768077844805e-02 8.681807217612255712e-02 8.262732172190524055e-04 1.007354185924955138e-03 1.058483490416043315e-03 1.132460927857858568e+00
8.617471940333705505e-02 7.790902366362864595e-02 8.707445793986934302e-02 1.356266296024027408e-03 1.184689311970091525e-03 1.386362854161013762e-03 1.223444384990438616e+00
8.347904696509889089e-02 7.770489773016391044e-02 8.573222545576766884e-02 9.307001509459541036e-04 1.127179962657052668e-03 1.188880419749500147e-03 1.154139163566916260e+00
8.301485728877838755e-02 7.686379296052438248e-02 8.642223438727683615e-02 9.834238623978846378e-04 1.076090514857201393e-03 1.262794387724602884e-03 1.166455104950090194e+00
8.211486442376254857e-02 7.637267416246745766e-02 8.467393429964067963e-02 9.100656006064793135e-04 9.225073696853974565e-04 1.236960898377612592e-03 1.156025902658141202e+00
8.240755430775413559e-02 7.592247520920042403e-02 8.377168260825260115e-02 1.026782765093794264e-03 9.165344915591873334e-04 1.189258526337238229e-03 1.178130322184946399e+00
8.725403898072323083e-02 7.870622958957312898e-02 8.766326824936063189e-02 1.418596742242972213e-03 1.053813769270775351e-03 1.223358973448232957e-03 1.229002773398754744e+00
8.594407657685643187e-02 7.815263924584750499e-02 8.668972472831799891e-02 1.278549277556978621e-03 1.098393986816686334e-03 1.192779294593455681e-03 1.209329373360919391e+00
8.569969287662845825e-02 7.822859676540235008e-02 8.569019190809859521e-02 1.224724007264523136e-03 9.589923933721939591e-04 1.170535184471244378e-03 1.200127675406152505e+00
8.495297457562903110e-02 7.732634704363065825e-02 8.494454606809513642e-02 1.237643942135465205e-03 1.093325563965306772e-03 1.234779109752606394e-03 1.206985885636421063e+00
8.444272266589748777e-02 7.696283476351885311e-02 8.533224072555156692e-02 1.207295476392970801e-03 1.125146674509877034e-03 1.304244390350623329e-03 1.203822189280107535e+00
8.216664803539708295e-02 7.631532154329270790e-02 8.447764479677793981e-02 9.273297471166673175e-04 9.340616553815279379e-04 1.136292657678119548e-03 1.159224800943606581e+00
8.574249266651466639e-02 7.762877587208423524e-02 8.797613695895971364e-02 1.325548205269033719e-03 9.831576048143534589e-04 1.177489903150203809e-03 1.219963210764488215e+00
8.054783515256568049e-02 7.590598227610567683e-02 8.577253288866826253e-02 7.262356024644259916e-04 1.070947093561691425e-03 1.347209464284797277e-03 1.126044972029181634e+00
8.425541532786294530e-02 7.709518009667620797e-02 8.552740594387325812e-02 1.155308217931742820e-03 1.017553664443028409e-03 1.215829632755446215e-03 1.194376343416658992e+00
8.525232506835776769e-02 7.792184567977496201e-02 8.615542709931325871e-02 1.196144895418278266e-03 1.018022487239359907e-03 1.152476766064546368e-03 1.196999593316295352e+00
8.311674032804218515e-02 7.662888267191399205e-02 8.552306176638288515e-02 1.036406863213234532e-03 1.037358952847038411e-03 1.104912297273167015e-03 1.176500237450064157e+00
8.483593743388369302e-02 7.775575141529705858e-02 8.639046922533211159e-02 1.151179402128357961e-03 8.388693043010451988e-04 1.130031282220400135e-03 1.190404831745869974e+00
8.828890242857764803e-02 8.154619214777063252e-02 8.926737894822560360e-02 1.145148838241774950e-03 9.011944558166117957e-04 1.107652043033407986e-03 1.172208492293711046e+00
8.174831087584254197e-02 7.529143656142774088e-02 8.467623113242880861e-02 1.013985911569897924e-03 9.713018783249267223e-04 1.214376589152251157e-03 1.178871337238273309e+00
8.362705509776677260e-02 7.899231231988816659e-02 8.773277728401046582e-02 7.536989386821638104e-04 9.910103960941848630e-04 1.129207355085087112e-03 1.120789240283901478e+00
8.625364777858221532e-02 7.676385992931931967e-02 8.613568703632210055e-02 1.547001563863564452e-03 1.242148052254070855e-03 1.335157938558517157e-03 1.262528915258632978e+00
8.435321911659192373e-02 7.664111605220655377e-02 8.478574759891864543e-02 1.241604905603975809e-03 1.069377107338668163e-03 1.078502552563257800e-03 1.211377997439206267e+00
8.136495263275823897e-02 7.285398168259539509e-02 8.250855393117403902e-02 1.312552869923046608e-03 1.084198121580161496e-03 1.186790763165196686e-03 1.247292087973872921e+00
8.566441071482747138e-02 8.040830412779885472e-02 8.810195647728615020e-02 8.728958904100541163e-04 1.033777704397948437e-03 1.129144894271070501e-03 1.135008354362857075e+00
8.373844037600179646e-02 7.581620937747358957e-02 8.661560173935101137e-02 1.264028792236293434e-03 1.076842926540575547e-03 1.257662279411795453e-03 1.219903849801637463e+00
8.352202323008393881e-02 7.870781142074914638e-02 8.558375666254215697e-02 7.810087858024714058e-04 1.033356845560973484e-03 1.247302125705637135e-03 1.126072465653121357e+00
8.512874255329905271e-02 7.873304509667265749e-02 8.662648016768319248e-02 1.048010418511179098e-03 9.824919762690229215e-04 1.077900118943968082e-03 1.169064141227698306e+00
8.731519463876107057e-02 7.927507982097047046e-02 8.959670154641420636e-02 1.339404934183490749e-03 1.214387813944058569e-03 1.250369631215290846e-03 1.213127022921258513e+00
8.213906918200647445e-02 7.523199064280328141e-02 8.431551774979206826e-02 1.086974270007604916e-03 9.021528242360816541e-04 1.218936041434522805e-03 1.192049931711940847e+00
8.342136515546361153e-02 7.737669571969947591e-02 8.673876931695675974e-02 9.719711239022385887e-04 8.887283575323226287e-04 1.188198475606935898e-03 1.162342789190041525e+00
8.388186070064673761e-02 7.898845361355458228e-02 8.751059899550038546e-02 7.969907503420402620e-04 9.405852935671595895e-04 1.074342700230329281e-03 1.127739748861986468e+00
8.375204386079511398e-02 7.399561811995859772e-02 8.550580224712979460e-02 1.539053349905803413e-03 1.027863994199465112e-03 1.191524754735576348e-03 1.281087588557088264e+00
8.451460183551279259e-02 7.843622831264256134e-02 8.700932333599280255e-02 9.904760115022719080e-04 1.139863097626637751e-03 1.234793723758848731e-03 1.160994321368336912e+00
8.403350699721519323e-02 7.887216229644185284e-02 8.584703647717989439e-02 8.408123129347517058e-04 1.153541662205891149e-03 1.310984203672665603e-03 1.135161053565531208e+00
8.388655277446936676e-02 7.832664223033371231e-02 8.679122024953586645e-02 9.018908533051381640e-04 1.111984511592823115e-03 1.251178302465706270e-03 1.147005967256288672e+00
8.292206783032142481e-02 7.854804925138794691e-02 8.580087893458474002e-02 7.062732920579605986e-04 1.140228155754718442e-03 1.247101957733808735e-03 1.114472713091625877e+00
8.555365757975028074e-02 7.759893685044143286e-02 8.607342229179421045e-02 1.297833324954365472e-03 9.834342596102495747e-04 1.204181973068362997e-03 1.215529826380826961e+00
8.412761087654434256e-02 7.683443469201872711e-02 8.542414298814104967e-02 1.173924557353171229e-03 8.585211983237178018e-04 1.036728650856381809e-03 1.198851278281283905e+00
8.504956004547983839e-02 8.109679544558032194e-02 8.714232764090189265e-02 6.567374323873838293e-04 1.140243188732715639e-03 1.202687688095946134e-03 1.099858349605341123e+00
8.366656379852970005e-02 7.696940209830957502e-02 8.622626453370110799e-02 1.075805038482178372e-03 1.026014322147770271e-03 1.181181818343858070e-03 1.181592266011882497e+00
8.275524478802848138e-02 7.682889199258848001e-02 8.515754785974798124e-02 9.457518951176881877e-04 1.134194982082401991e-03 1.161896130513794586e-03 1.160224188377498855e+00
8.053249614401040979e-02 7.662397770592264956e-02 8.408182378171276394e-02 6.142489757073208920e-04 9.583154086169154255e-04 1.104229833040144869e-03 1.104620081561519029e+00
8.208212562754128860e-02 7.507109041145776374e-02 8.388511797522842095e-02 1.101806731970205247e-03 1.039059486674657985e-03 1.248333339115641292e-03 1.195505947409168490e+00
8.376950977746223936e-02 7.745614617531307311e-02 8.594753885084525924e-02 1.017876188024876075e-03 9.757371480148508769e-04 1.244078262200825746e-03 1.169661454119824251e+00
8.707785410850270302e-02 7.920918878396805696e-02 8.749850537116006521e-02 1.308457088327389523e-03 9.834214452627972839e-04 1.100180932363479473e-03 1.208549115966404575e+00
8.179608514252781348e-02 7.759334597823865087e-02 8.532986143155193992e-02 6.698722045450147822e-04 9.472732072713591425e-04 1.330002851123198012e-03 1.111261009958647294e+00
8.489622403422235342e-02 7.695333400907074239e-02 8.665006855831025590e-02 1.285553240157269982e-03 8.789171143083325489e-04 1.143859631054654604e-03 1.217087684539979175e+00
8.335341807167997996e-02 7.513676282827562447e-02 8.400315123336098144e-02 1.302259175919725023e-03 1.042601852570768746e-03 1.276194637041516569e-03 1.230670717241716394e+00
8.005091782742999873e-02 7.579377742634943460e-02 8.482188380577553033e-02 6.634527484589529400e-04 1.083417123737571769e-03 1.277906619196842114e-03 1.115489604326163064e+00
9.175397167256336972e-02 8.240613559277185085e-02 9.075927919755569229e-02 1.628020134355261279e-03 1.002398682980191764e-03 1.259487837861613096e-03 1.239740095845181411e+00
8.510572692350092117e-02 7.904030983265947219e-02 8.686382858130280160e-02 9.956141767347046964e-04 9.682414205270570805e-04 1.242512591635000626e-03 1.159365314452479145e+00
8.309888031791536067e-02 7.643865065159533012e-02 8.523918891019330313e-02 1.062556596654586072e-03 1.173414208404687832e-03 1.313654654167172291e-03 1.181855335686138542e+00
8.573781802772245664e-02 7.958633395804667887e-02 8.707051887673475377e-02 1.016988887273116010e-03 8.993275206036831053e-04 1.077310368807323383e-03 1.160560683213289979e+00
