sigma_18, sigma_D, sigma_17, diff1, diff2, diff2_17O, divis,
5.799878315250974609e-02 5.169821448272748227e-02 5.944099511867384500e-02 6.911534664697546564e-04 6.853370667474017151e-04 7.332719596429681380e-04 1.258596952533614255e+00
5.927701982569492933e-02 4.964751663726232889e-02 5.917798337825932314e-02 1.048889171168590050e-03 5.561891438878919548e-04 8.008215282361881441e-04 1.425534270370004020e+00
6.047174355512536376e-02 5.460142117105231535e-02 6.132200856905038744e-02 6.755165746982058281e-04 5.650189017296703472e-04 6.903213909186269297e-04 1.226583413951222834e+00
5.652631773642359525e-02 5.143984838626907558e-02 5.777170447348710380e-02 5.491665948367673196e-04 6.419320268282489384e-04 7.453230949101271674e-04 1.207541404769357563e+00
5.911233139827491018e-02 5.465490676767107564e-02 6.149291914190849889e-02 5.071088895566601418e-04 5.913421753932080046e-04 6.710344119939681698e-04 1.169762947929513963e+00
5.954673920229014428e-02 5.293839926823147579e-02 6.092499772754909892e-02 7.433400325428671587e-04 5.131354962050027179e-04 6.391816527457236342e-04 1.265244209754438964e+00
5.855235528886110208e-02 5.340966229145330951e-02 6.009024366540325485e-02 5.757862837859309586e-04 6.588536214393727686e-04 7.153126946606974115e-04 1.201846698904132760e+00
5.719634481110624780e-02 5.194202151805794865e-02 5.865732020011187736e-02 5.734482603685655232e-04 6.749296894007435254e-04 7.381410276476926130e-04 1.212547765663769317e+00
5.689766524355752836e-02 5.083553146604467832e-02 5.848802308295689145e-02 6.530930507327157609e-04 5.206152802181132416e-04 6.676230844057043238e-04 1.252720414993798936e+00
5.912903353506068077e-02 5.231267051834030679e-02 5.964107082009165867e-02 7.596271100298998200e-04 7.160295627028574793e-04 7.633394245163800879e-04 1.277579042773504758e+00
5.952642443908998104e-02 5.063128621089979520e-02 5.935058014637873552e-02 9.798680631326371973e-04 6.469654625756323090e-04 8.240484253109065784e-04 1.382234323387927066e+00
5.888140793983000915e-02 5.333090247633318765e-02 5.984733061585737618e-02 6.228350420365152962e-04 6.076639376199788768e-04 7.091058738209045451e-04 1.218985406093815893e+00
5.665590098943124736e-02 5.062342309652283212e-02 5.793471620727021210e-02 6.471601509146752106e-04 6.574445340348821550e-04 6.595108090170084206e-04 1.252527541711633940e+00
5.860995359197729987e-02 5.273539134303035364e-02 6.114696950059506780e-02 6.541051599511719765e-04 6.640699809662302172e-04 7.372664102220037033e-04 1.235203201387349736e+00
5.868254710640326277e-02 5.182967691459397508e-02 6.028323735565894320e-02 7.573259258240425291e-04 7.142441007257702276e-04 7.923711530763849487e-04 1.281919957450525338e+00
5.683624181194200931e-02 5.129261968048989123e-02 5.860544107729539348e-02 5.994255496181663014e-04 5.641307063203376479e-04 7.427040146920231610e-04 1.227837648283115923e+00
5.916598061016613980e-02 5.212592002822936249e-02 5.934450424482323044e-02 7.835017227731926742e-04 6.994689835332837521e-04 7.343115981415012511e-04 1.288358321544020857e+00
5.928669303769797810e-02 5.268450941096836787e-02 5.917251081000386020e-02 7.392544394718113254e-04 5.390596145149781186e-04 7.071441389970667228e-04 1.266334888574164097e+00
6.590987173167821289e-02 5.103646084203607158e-02 5.857397253549486565e-02 1.739390856405593523e-03 6.327884555264341867e-04 7.585289713649476370e-04 1.667784112115882511e+00
5.864928559082481507e-02 5.302561327104099442e-02 5.968738505950527129e-02 6.280230375441324224e-04 6.108921250256146764e-04 7.100778778198926604e-04 1.223359369462496460e+00
5.964699347761818343e-02 5.214412515178711710e-02 5.920768038839469005e-02 8.387540430737881747e-04 6.846186766645012429e-04 7.714127079306898381e-04 1.308477757904095151e+00
5.737489940568438890e-02 5.213468592391313355e-02 5.969487079977334881e-02 5.738536054273367729e-04 6.606365461805730269e-04 7.587611992639500076e-04 1.211128854535445276e+00
5.729366280005542683e-02 5.115039804654781391e-02 5.945669000168725404e-02 6.662005767261724998e-04 7.315524483905231756e-04 7.745154866646572836e-04 1.254628474957930173e+00
5.852690950694783290e-02 5.139535852609105476e-02 5.948936978036820089e-02 7.839162584090198296e-04 7.459532540763185154e-04 7.627439781413979276e-04 1.296771281362615769e+00
5.806106256808986343e-02 5.140442736540549312e-02 5.856771562963609956e-02 7.286718337703966542e-04 5.791573544712132985e-04 7.189468011866156786e-04 1.275759784758974114e+00
5.837909384125041651e-02 5.224508269448024933e-02 6.034436190588998716e-02 6.785699319724427560e-04 5.969780792160241101e-04 7.207939108849954236e-04 1.248601514413822056e+00
5.644017207761915095e-02 5.130810961862749403e-02 5.919223217643744539e-02 5.529709115141656466e-04 6.465753625494543612e-04 7.326959104668177196e-04 1.210053662554132714e+00
5.736617420038137710e-02 5.167149849134877737e-02 5.875420680647578525e-02 6.209341860470432919e-04 6.213940265000653194e-04 7.264526296271706486e-04 1.232564519223390054e+00
5.734208991386864629e-02 5.132854334777674221e-02 5.883619959957842732e-02 6.534959134856001273e-04 6.724013653894897035e-04 7.660261397464124137e-04 1.248041870055478508e+00
5.900740195726167370e-02 5.220493573736417064e-02 5.968218814949819567e-02 7.565181704035262196e-04 6.907041989551406577e-04 8.167507152449101585e-04 1.277585152344989705e+00
5.934637264287456054e-02 5.360929512954710346e-02 6.043040829110537387e-02 6.480354215800477116e-04 5.101928097955841287e-04 5.764527451125310044e-04 1.225485464412459979e+00
5.835636881683888000e-02 5.214535758976843183e-02 5.884127875414032344e-02 6.863274633221051052e-04 6.875654971577882524e-04 7.381333175970996360e-04 1.252406234260755147e+00
5.539359898965613704e-02 4.956486465124784052e-02 5.825714724014492002e-02 6.117750011303156252e-04 6.777300091585008665e-04 8.213262816108202104e-04 1.249025532454824061e+00
5.672538164830229213e-02 5.051710656707366492e-02 5.853607755732181950e-02 6.657908672364734777e-04 5.882051989439157679e-04 8.027118850038380150e-04 1.260892081612865701e+00
5.824666781396870691e-02 5.255872530085384242e-02 5.961673667396503312e-02 6.302547061802043875e-04 6.865793455599655034e-04 6.973278523445257697e-04 1.228153139726586129e+00
5.687614690894077230e-02 5.206987852435432385e-02 5.953179697034235301e-02 5.236238376663971544e-04 6.228051606871930820e-04 7.683773570274224840e-04 1.193128461280507757e+00
5.645571568400849227e-02 5.137410929457641995e-02 5.931530721337271300e-02 5.479487275825193314e-04 6.164895284556422142e-04 6.987743948628108394e-04 1.207611455017004953e+00
5.943154734170033593e-02 5.368306030554952785e-02 6.060147391352053298e-02 6.502378556595008428e-04 6.705119859949413381e-04 8.173286102649502055e-04 1.225630454601978281e+00
5.796340753378395605e-02 5.098179675074977768e-02 5.895070196300572496e-02 7.606130129927620755e-04 6.588453977286199206e-04 7.432072107020756477e-04 1.292639857609965803e+00
5.835985463683082686e-02 5.301557080401324978e-02 5.983253820379615812e-02 5.952218855566821822e-04 6.050430789863270147e-04 7.775971133112663915e-04 1.211773691928455854e+00
6.002852791021293100e-02 5.307770947995005262e-02 5.996577681761405820e-02 7.861809194292333075e-04 6.330541837979432014e-04 6.916464724689702767e-04 1.279060362006234630e+00
5.688720676072674121e-02 5.080795388062348678e-02 5.802938473528307384e-02 6.547061155021110385e-04 7.381565570898397655e-04 7.250928302003808697e-04 1.253619701220243243e+00
5.774447050165166379e-02 5.124662097098148239e-02 5.883261664681840863e-02 7.082077125726803091e-04 6.759404643823845255e-04 7.555823406709422790e-04 1.269668477067883217e+00
5.722370333708184931e-02 5.051574442364433620e-02 5.758936599091735858e-02 7.227117889353987940e-04 6.838734394525200445e-04 7.401644746220786960e-04 1.283211982659666406e+00
5.922989250602404832e-02 5.342734710642454282e-02 5.964522290709999702e-02 6.536987474447929908e-04 6.548446254475336287e-04 7.742216680525424973e-04 1.229007883229678688e+00
5.728380649798273799e-02 5.295353970461180726e-02 6.007842640968216047e-02 4.773571196504300569e-04 5.970561938247659134e-04 7.058800889725475210e-04 1.170236786340506541e+00
5.847610345412395522e-02 5.221499750420798697e-02 5.875289132778633433e-02 6.930487108129613702e-04 5.931352959074971329e-04 7.672014515122097976e-04 1.254198648283297191e+00
5.864389131602788796e-02 5.114728751897918563e-02 5.902230295795594245e-02 8.230609681369668862e-04 6.850735916906887596e-04 7.631073998225196666e-04 1.314620337827443475e+00
5.829181403276660622e-02 5.223697334412219506e-02 5.956536126579551477e-02 6.692341990761131211e-04 6.911630722950524953e-04 7.197821041121146282e-04 1.245257397149549305e+00
5.973383935253023108e-02 5.388610827403772507e-02 6.097095326404259469e-02 6.644188988725722479e-04 6.863766527469443218e-04 8.306400438215327765e-04 1.228817026870176354e+00
6.026745302395700166e-02 5.129954566400394406e-02 5.978617205462931350e-02 1.000522508661638200e-03 7.694294051283697301e-04 7.728579560864650474e-04 1.380189243815399980e+00
5.732110582972073376e-02 5.078326156678863307e-02 5.959876404555825014e-02 7.067695181811727706e-04 6.947693494991837460e-04 7.579671042735853332e-04 1.274054306277389248e+00
5.934879473812690320e-02 5.238095987693116434e-02 6.053516953040347787e-02 7.785144792396467804e-04 6.704417107963207010e-04 7.284361637093636141e-04 1.283739493455913872e+00
5.802261929477776220e-02 5.132796050860995163e-02 6.116857368378062626e-02 7.320648198532939133e-04 7.251278767914600722e-04 8.147397696904108873e-04 1.277869910140416954e+00
6.025269716426568528e-02 5.194473753666310062e-02 6.037836348782631840e-02 9.321317578158939098e-04 6.012715425488518841e-04 7.238262755401657757e-04 1.345457155103858549e+00
5.818226783869769048e-02 5.229481481469705484e-02 6.024906502562077382e-02 6.504286343504972479e-04 6.781326535895636741e-04 6.754146441181089425e-04 1.237838629390073164e+00
5.918278542930927033e-02 5.340232050725197965e-02 5.991001683714914511e-02 6.507942556123963787e-04 5.040673948974043516e-04 6.434206878323018739e-04 1.228204105303879912e+00
5.843120102867027654e-02 5.146946598450194421e-02 5.894312246719846105e-02 7.650993249230754120e-04 5.428652191007209788e-04 6.627923512880017727e-04 1.288814168065346655e+00
5.743659991255258696e-02 5.116719273370837900e-02 5.891472112170838965e-02 6.808813972661764864e-04 6.402989190840746624e-04 7.558391112147777417e-04 1.260068820651248700e+00
5.736643768720416092e-02 5.122067851461027665e-02 5.882573036878444711e-02 6.673502654228192880e-04 6.775971378208051673e-04 7.437056873544759580e-04 1.254368414554831945e+00
5.852416587323956698e-02 5.275173130168759467e-02 5.962865639424549252e-02 6.423328358330119767e-04 6.714308587655033571e-04 7.873403750340243236e-04 1.230827043074266047e+00
5.864106700301091601e-02 5.298353348218864944e-02 6.093481877345161002e-02 6.315199189934096735e-04 7.301538377047892036e-04 8.025686927168394335e-04 1.224959955340044093e+00
5.833759894767268084e-02 5.201010310108659940e-02 5.973781097398849632e-02 6.982246263938425047e-04 7.256264175345825867e-04 7.937171794981768376e-04 1.258118856787392215e+00
5.652104974875313964e-02 5.074598550679215031e-02 5.760428691842533339e-02 6.194740196454680443e-04 6.181091892983862522e-04 7.528367780866182480e-04 1.240557950417351618e+00
5.925415249682229601e-02 5.344515717214327194e-02 6.015117795382527582e-02 6.546697629615746451e-04 5.992751668063229023e-04 7.096081713921113593e-04 1.229195225095773614e+00
6.053385120403932673e-02 5.523150206085013919e-02 6.234491761898562634e-02 6.138283216950805865e-04 6.811518992059369896e-04 6.844445055355292181e-04 1.201220958773061120e+00
5.913262094562416610e-02 5.290542680076859572e-02 5.997041661480851521e-02 6.976826749273859311e-04 6.320452949880599365e-04 7.636202062492707110e-04 1.249262814228617735e+00
5.921830554933760205e-02 5.310809531928027682e-02 6.056542602690782179e-02 6.863379236929489230e-04 6.193103437610250487e-04 6.730272769297985158e-04 1.243341703749336613e+00
5.802266416915900782e-02 5.226179680592897558e-02 5.986409755338896466e-02 6.353341519028006534e-04 7.542078956469071283e-04 7.534481867708390157e-04 1.232612756075510907e+00
5.676082201563716068e-02 5.188279749757054859e-02 5.907445735032088030e-02 5.299662397169275022e-04 6.016193775349405531e-04 7.911656503389551381e-04 1.196879924761744540e+00
5.857401999936539400e-02 5.205637454442964274e-02 5.929568769590814331e-02 7.210496881761147003e-04 6.939957741934135727e-04 7.597213582597401108e-04 1.266083139681594139e+00
5.734822420683815397e-02 5.140411201290620569e-02 5.857267919229837416e-02 6.464360878423694619e-04 6.171719176344655014e-04 7.592801029870469313e-04 1.244641353447444310e+00
5.596437091424117521e-02 5.029218746250689598e-02 5.742157640778131067e-02 6.027066920628277799e-04 6.912659772107455263e-04 8.360483319198548169e-04 1.238289530844981723e+00
5.654097398870148311e-02 5.042423685450091175e-02 5.812903859240154542e-02 6.542780772322096677e-04 7.998376073873912162e-04 7.069485318516860592e-04 1.257326018568394099e+00
5.767450533983395355e-02 5.231259890144142333e-02 6.015019646085929123e-02 5.897405623714446071e-04 6.908051431475328462e-04 7.567391631623875516e-04 1.215500561844285565e+00
5.840998303647842310e-02 5.108643778614346126e-02 5.840426502876278764e-02 8.019019926441906324e-04 6.802918396272270886e-04 6.922573746708117872e-04 1.307262847620437984e+00
5.943708425077295909e-02 5.340125154597363810e-02 6.009317223035730293e-02 6.810733175571311200e-04 7.448330932991690384e-04 7.002217328257869270e-04 1.238831163920534939e+00
5.806678891426943906e-02 5.160105710518501226e-02 5.885681472175344209e-02 7.090828804417596311e-04 6.660153907326004079e-04 7.168306121029102479e-04 1.266305295667559783e+00
5.969531474769605717e-02 5.265819634091086637e-02 6.080049531005866231e-02 7.906449609485798925e-04 6.789612231822365332e-04 7.520441850847060230e-04 1.285134355707911791e+00
5.910216078420338359e-02 5.141935028937871799e-02 5.962950112854562695e-02 8.491158251799969282e-04 6.828880446630797513e-04 6.926413596520444990e-04 1.321154317865994798e+00
5.699947307440823147e-02 5.121391414008977933e-02 5.905277826851920708e-02 6.260749292117014086e-04 6.181096764602172014e-04 7.482223018752759630e-04 1.238698876549909844e+00
5.611868377710506339e-02 5.123736152434776175e-02 5.731606995216396300e-02 5.240394528980025363e-04 6.115515858604486958e-04 7.290880229752305739e-04 1.199613757300144856e+00
5.771304438259732689e-02 5.165194556041428214e-02 5.949707887651979610e-02 6.628720117316483189e-04 5.615368302846763648e-04 7.843663945527908207e-04 1.248459903987920727e+00
5.640002144061391498e-02 5.096225123691045661e-02 5.734190832465905358e-02 5.838113673677278702e-04 6.843681594827063152e-04 7.796893198831288509e-04 1.224789146211892943e+00
5.669766714627297310e-02 5.237520441588363468e-02 5.879011290540911427e-02 4.714634222239650826e-04 6.377355709526182515e-04 7.485804659565737729e-04 1.171868601183868819e+00
5.866295769121483011e-02 5.142179644770029229e-02 5.937028904810116858e-02 7.971414551725388917e-04 7.085469307907013526e-04 7.735406051182540854e-04 1.301467781753311792e+00
5.867599730152550652e-02 5.245514136794898752e-02 5.960968204936385739e-02 6.913308033971153101e-04 7.605421635473016886e-04 7.745448075397473684e-04 1.251252148647788109e+00
5.762603906022144978e-02 5.097578363727198886e-02 5.883188687012089191e-02 7.222298603362015991e-04 6.931313724475321675e-04 7.498869440616616998e-04 1.277937801957930830e+00
5.709077773594779803e-02 5.124786899637361753e-02 5.799202264570774840e-02 6.330128258259207392e-04 7.209967449824728532e-04 7.983986910484286263e-04 1.241024331674263737e+00
6.005619082045394325e-02 5.280116534507142689e-02 5.970780209957329138e-02 8.187829940652043871e-04 6.764842956488276680e-04 7.085986799757526327e-04 1.293685022332140999e+00
5.782946262188594366e-02 5.051860904126281165e-02 5.766332920053832828e-02 7.921168876721426493e-04 5.635720046187073576e-04 7.674204271158262085e-04 1.310374836427216749e+00
5.712639009755818287e-02 5.009564130623194583e-02 5.837840986622114259e-02 7.538511676957412345e-04 5.764583155859478525e-04 7.176521855225259910e-04 1.300390179613233554e+00
5.674588503558695290e-02 5.063473130945608108e-02 5.733774258752353387e-02 6.562194536912390776e-04 7.028980073264285040e-04 6.525421245050162019e-04 1.255948201047210055e+00
5.726246033809890418e-02 5.034786644244065856e-02 5.917558896377440175e-02 7.440817086665080238e-04 6.969758595513866244e-04 8.250559396012173549e-04 1.293534049301189537e+00
5.949713336918749373e-02 5.360342725346620152e-02 5.995829474092990996e-02 6.665814658332407626e-04 6.950857321090779138e-04 8.136532740760644804e-04 1.231989387197466312e+00
5.814074822573546408e-02 5.189708740346180710e-02 5.855468244418637891e-02 6.870389232858076754e-04 5.964854385864969870e-04 5.769787335575732095e-04 1.255091138729559797e+00
5.859607473791667021e-02 5.223821085149382704e-02 5.918292770379715573e-02 7.046693017263888810e-04 7.560380504153774942e-04 7.492863271821913283e-04 1.258231230214332141e+00
5.736217929596870019e-02 5.277747865534893057e-02 5.819357158556680981e-02 5.049573603670481567e-04 6.291659591474969924e-04 7.989526976329249701e-04 1.181283146014301844e+00
