WH temperatures [deg C] from synthetic data. 
  T_18,    T_D,   T_17,  T_diff1_18D, T_diff2_18D, T_diff3_18D, T_diff1_17D, T_diff2_17D, T_division_18D, T_division_17D 
-2.931721e+01 -2.872411e+01 -2.889893e+01 -3.435979e+01 -2.928827e+01 -2.946887e+01 -3.002919e+01 -2.981150e+01 -4.188645e+00 -2.252734e+01 
-2.912193e+01 -2.886936e+01 -2.845150e+01 -3.109088e+01 -2.744425e+01 -2.863379e+01 -2.603063e+01 -2.787799e+01 -1.932210e+01 -4.193362e+01 
-2.846674e+01 -2.933702e+01 -2.864836e+01 -2.303397e+01 -2.981169e+01 -3.032822e+01 -2.485210e+01 -2.811180e+01 -5.520052e+01 -4.971548e+01 
-2.880820e+01 -2.905321e+01 -2.866852e+01 -2.710294e+01 -2.878371e+01 -2.905398e+01 -2.643619e+01 -2.837043e+01 -3.727323e+01 -4.113200e+01 
-2.902424e+01 -2.894275e+01 -2.858859e+01 -2.962361e+01 -2.827516e+01 -3.163953e+01 -2.651963e+01 -2.931994e+01 -2.599046e+01 -4.013801e+01 
-2.905175e+01 -2.946684e+01 -2.860903e+01 -2.625702e+01 -2.832436e+01 -2.905398e+01 -2.401415e+01 -2.731793e+01 -4.292711e+01 -5.407520e+01 
-2.867357e+01 -2.911374e+01 -2.866073e+01 -2.570310e+01 -2.807998e+01 -2.822430e+01 -2.606132e+01 -2.841058e+01 -4.336129e+01 -4.315489e+01 
-2.987377e+01 -2.974908e+01 -2.913754e+01 -3.080492e+01 -2.727647e+01 -2.822430e+01 -2.575232e+01 -2.655827e+01 -2.520336e+01 -4.804245e+01 
-2.916720e+01 -2.922306e+01 -2.848681e+01 -2.875630e+01 -2.812159e+01 -2.989945e+01 -2.444035e+01 -3.071180e+01 -3.121171e+01 -5.088237e+01 
-2.861748e+01 -2.879139e+01 -2.892467e+01 -2.736892e+01 -2.730819e+01 -2.863379e+01 -2.976830e+01 -2.840140e+01 -3.480130e+01 -2.417020e+01 
-2.870701e+01 -2.885780e+01 -2.867786e+01 -2.762454e+01 -2.821835e+01 -2.863379e+01 -2.758999e+01 -2.880566e+01 -3.407369e+01 -3.477229e+01 
-2.858325e+01 -2.871189e+01 -2.818364e+01 -2.765767e+01 -2.861938e+01 -2.863379e+01 -2.517248e+01 -2.858760e+01 -3.316710e+01 -4.487550e+01 
-3.006787e+01 -2.981204e+01 -2.930038e+01 -3.203346e+01 -3.122834e+01 -3.119822e+01 -2.642336e+01 -2.909156e+01 -2.018803e+01 -4.541515e+01 
-2.868127e+01 -2.932300e+01 -2.892620e+01 -2.451322e+01 -2.602614e+01 -2.822430e+01 -2.663875e+01 -2.666515e+01 -4.923622e+01 -4.172438e+01 
-2.835600e+01 -2.902812e+01 -2.825857e+01 -2.398943e+01 -3.290640e+01 -3.032822e+01 -2.405710e+01 -2.937925e+01 -4.980010e+01 -5.151135e+01 
-2.934459e+01 -2.973305e+01 -2.907448e+01 -2.672690e+01 -2.643601e+01 -2.905398e+01 -2.545081e+01 -2.910437e+01 -4.238056e+01 -4.927796e+01 
-2.965583e+01 -2.934543e+01 -2.908025e+01 -3.208978e+01 -2.737269e+01 -2.905398e+01 -2.751864e+01 -2.871382e+01 -1.747375e+01 -3.784787e+01 
-2.896347e+01 -2.866833e+01 -2.829584e+01 -3.129562e+01 -2.751832e+01 -2.905398e+01 -2.611828e+01 -2.767149e+01 -1.737228e+01 -4.041628e+01 
-2.740732e+01 -2.820492e+01 -2.800084e+01 -2.228498e+01 -3.166009e+01 -2.863379e+01 -2.676528e+01 -2.992351e+01 -5.238795e+01 -3.488046e+01 
-2.905801e+01 -2.913218e+01 -2.872915e+01 -2.851242e+01 -2.730067e+01 -2.863379e+01 -2.639737e+01 -2.837021e+01 -3.174272e+01 -4.175044e+01 
-2.855257e+01 -2.844114e+01 -2.813486e+01 -2.939545e+01 -3.033864e+01 -2.946887e+01 -2.631874e+01 -2.757451e+01 -2.435752e+01 -3.824112e+01 
-2.838090e+01 -2.854058e+01 -2.821218e+01 -2.723605e+01 -2.683180e+01 -2.863379e+01 -2.627485e+01 -2.795786e+01 -3.403890e+01 -3.899610e+01 
-2.892500e+01 -2.857829e+01 -2.831927e+01 -3.170413e+01 -2.858699e+01 -2.989945e+01 -2.677414e+01 -2.627131e+01 -1.512097e+01 -3.693844e+01 
-2.947812e+01 -3.004845e+01 -2.935821e+01 -2.577376e+01 -2.958823e+01 -2.946887e+01 -2.559435e+01 -2.790781e+01 -4.791618e+01 -5.038292e+01 
-2.898714e+01 -2.888319e+01 -2.866695e+01 -2.975172e+01 -2.769369e+01 -2.905398e+01 -2.737043e+01 -2.688479e+01 -2.510884e+01 -3.592558e+01 
-2.897046e+01 -2.879281e+01 -2.866703e+01 -3.032221e+01 -2.870956e+01 -3.076113e+01 -2.789272e+01 -2.952450e+01 -2.224965e+01 -3.300799e+01 
-2.949420e+01 -3.032489e+01 -2.949496e+01 -2.434254e+01 -2.773667e+01 -2.863379e+01 -2.507779e+01 -2.714934e+01 -5.504827e+01 -5.413263e+01 
-2.915544e+01 -2.851356e+01 -2.876818e+01 -3.471402e+01 -2.812406e+01 -2.905398e+01 -3.045626e+01 -2.722088e+01 -1.518419e+00 -1.926133e+01 
-2.830046e+01 -2.789550e+01 -2.813561e+01 -3.162810e+01 -2.847132e+01 -2.946887e+01 -2.970953e+01 -2.831549e+01 -1.187986e+01 -1.923066e+01 
-2.939482e+01 -2.974401e+01 -2.919299e+01 -2.702516e+01 -2.773045e+01 -2.863379e+01 -2.611826e+01 -2.910232e+01 -4.120500e+01 -4.639607e+01 
-2.830908e+01 -2.896669e+01 -2.881685e+01 -2.402240e+01 -2.987521e+01 -2.946887e+01 -2.791818e+01 -2.898032e+01 -4.935490e+01 -3.386705e+01 
-3.050691e+01 -3.021137e+01 -2.949773e+01 -3.278338e+01 -3.125679e+01 -3.119822e+01 -2.562877e+01 -2.932021e+01 -1.901030e+01 -5.112684e+01 
-2.892414e+01 -2.962640e+01 -2.937350e+01 -2.443101e+01 -3.036987e+01 -2.989945e+01 -2.788558e+01 -2.916991e+01 -5.112133e+01 -3.774766e+01 
-2.850956e+01 -2.884329e+01 -2.862549e+01 -2.620063e+01 -2.847062e+01 -2.781506e+01 -2.731717e+01 -2.919632e+01 -3.991980e+01 -3.594742e+01 
-2.933692e+01 -2.904676e+01 -2.887793e+01 -3.161192e+01 -2.977571e+01 -2.822430e+01 -2.786460e+01 -2.865861e+01 -1.798704e+01 -3.456841e+01 
-2.886280e+01 -2.846058e+01 -2.828418e+01 -3.214143e+01 -2.928598e+01 -2.989945e+01 -2.721494e+01 -2.859263e+01 -1.259459e+01 -3.425525e+01 
-3.036622e+01 -2.917941e+01 -2.936377e+01 -4.258258e+01 -3.122648e+01 -3.032822e+01 -3.054006e+01 -3.020987e+01 2.956798e+01 -2.270402e+01 
-2.885155e+01 -2.919051e+01 -2.875061e+01 -2.652444e+01 -2.875348e+01 -2.989945e+01 -2.621963e+01 -2.672879e+01 -4.039452e+01 -4.287755e+01 
-2.953701e+01 -2.973602e+01 -2.950992e+01 -2.814715e+01 -2.966470e+01 -2.905398e+01 -2.817551e+01 -2.980598e+01 -3.647976e+01 -3.703140e+01 
-2.881948e+01 -2.941877e+01 -2.845250e+01 -2.491377e+01 -2.590875e+01 -2.905398e+01 -2.335372e+01 -2.688963e+01 -4.812863e+01 -5.662868e+01 
-3.031184e+01 -2.947949e+01 -2.965191e+01 -3.783284e+01 -2.921856e+01 -2.989945e+01 -3.075155e+01 -2.780107e+01 7.225853e+00 -2.341225e+01 
-2.762424e+01 -2.852509e+01 -2.782170e+01 -2.196020e+01 -2.722851e+01 -2.822430e+01 -2.391651e+01 -2.817593e+01 -5.527393e+01 -4.938167e+01 
-2.871857e+01 -2.890621e+01 -2.857233e+01 -2.738619e+01 -2.707957e+01 -2.781506e+01 -2.661319e+01 -2.681920e+01 -3.532344e+01 -3.951097e+01 
-2.893942e+01 -2.872101e+01 -2.880024e+01 -3.063391e+01 -2.776804e+01 -2.989945e+01 -2.930890e+01 -2.805422e+01 -2.051817e+01 -2.593145e+01 
-2.916878e+01 -2.912679e+01 -2.870910e+01 -2.947760e+01 -2.743103e+01 -2.863379e+01 -2.629844e+01 -2.742658e+01 -2.760558e+01 -4.216510e+01 
-2.893329e+01 -2.941332e+01 -2.876129e+01 -2.573574e+01 -2.984989e+01 -2.946887e+01 -2.515180e+01 -2.802773e+01 -4.477938e+01 -4.882880e+01 
-2.974723e+01 -2.907000e+01 -2.865557e+01 -3.562416e+01 -2.905437e+01 -3.076113e+01 -2.626248e+01 -2.937443e+01 -4.614183e-01 -4.200807e+01 
-2.898400e+01 -2.886153e+01 -2.889164e+01 -2.990614e+01 -2.760258e+01 -2.946887e+01 -2.907863e+01 -2.868042e+01 -2.439842e+01 -2.784077e+01 
-2.875376e+01 -2.883482e+01 -2.863291e+01 -2.815948e+01 -2.882098e+01 -2.946887e+01 -2.741566e+01 -2.844277e+01 -3.170209e+01 -3.544727e+01 
-3.019443e+01 -3.001217e+01 -2.932580e+01 -3.156728e+01 -2.882243e+01 -2.946887e+01 -2.557894e+01 -2.810439e+01 -2.328627e+01 -5.025104e+01 
-2.958236e+01 -2.927761e+01 -2.971865e+01 -3.197149e+01 -2.792209e+01 -2.905398e+01 -3.269989e+01 -2.794325e+01 -1.763358e+01 -1.272708e+01 
-2.878007e+01 -2.823978e+01 -2.868377e+01 -3.336679e+01 -2.861767e+01 -2.989945e+01 -3.173468e+01 -2.787278e+01 -6.064078e+00 -1.145689e+01 
-2.906598e+01 -2.957534e+01 -2.920632e+01 -2.569893e+01 -2.983874e+01 -3.032822e+01 -2.708503e+01 -2.758652e+01 -4.576879e+01 -4.111698e+01 
-2.884720e+01 -2.885551e+01 -2.834589e+01 -2.878608e+01 -2.747606e+01 -2.946887e+01 -2.543521e+01 -2.775824e+01 -2.914959e+01 -4.451150e+01 
-2.914390e+01 -2.965883e+01 -2.897824e+01 -2.575162e+01 -2.666278e+01 -2.781506e+01 -2.524045e+01 -2.898171e+01 -4.598744e+01 -4.978938e+01 
-2.888633e+01 -2.867922e+01 -2.862293e+01 -3.049288e+01 -2.937724e+01 -2.946887e+01 -2.827536e+01 -3.027837e+01 -2.090785e+01 -3.057271e+01 
-2.855109e+01 -2.908484e+01 -2.848461e+01 -2.500674e+01 -2.880529e+01 -2.822430e+01 -2.511820e+01 -2.753541e+01 -4.603350e+01 -4.717151e+01 
-2.796582e+01 -2.839099e+01 -2.731582e+01 -2.505737e+01 -2.840343e+01 -3.032822e+01 -2.165154e+01 -2.892816e+01 -4.224271e+01 -5.828364e+01 
-2.801871e+01 -2.789359e+01 -2.798009e+01 -2.898074e+01 -2.880667e+01 -3.076113e+01 -2.852894e+01 -2.710025e+01 -2.327869e+01 -2.487895e+01 
-2.867430e+01 -2.874353e+01 -2.865149e+01 -2.817036e+01 -3.067742e+01 -2.946887e+01 -2.808738e+01 -2.825679e+01 -3.117262e+01 -3.181519e+01 
-2.907829e+01 -2.891743e+01 -2.883489e+01 -3.030534e+01 -2.796509e+01 -2.989945e+01 -2.832214e+01 -2.895237e+01 -2.297203e+01 -3.165329e+01 
-2.853043e+01 -2.927801e+01 -2.822469e+01 -2.376588e+01 -3.033727e+01 -3.032822e+01 -2.272383e+01 -2.921004e+01 -5.201708e+01 -5.852670e+01 
-2.828803e+01 -2.900558e+01 -2.832121e+01 -2.367326e+01 -2.946203e+01 -2.822430e+01 -2.452674e+01 -2.824410e+01 -5.099188e+01 -4.931237e+01 
-2.882202e+01 -2.930388e+01 -2.845339e+01 -2.561399e+01 -2.731425e+01 -2.905398e+01 -2.388272e+01 -2.767119e+01 -4.470741e+01 -5.375687e+01 
-2.833672e+01 -2.954668e+01 -2.906245e+01 -2.118516e+01 -2.949506e+01 -2.946887e+01 -2.631827e+01 -2.878642e+01 -6.336393e+01 -4.441012e+01 
-2.975964e+01 -2.977300e+01 -2.927168e+01 -2.965139e+01 -2.632157e+01 -2.863379e+01 -2.644660e+01 -2.699103e+01 -3.024468e+01 -4.509449e+01 
-2.925594e+01 -2.956706e+01 -2.908487e+01 -2.712383e+01 -2.914335e+01 -2.946887e+01 -2.635282e+01 -2.822342e+01 -3.987117e+01 -4.436890e+01 
-2.963193e+01 -2.949168e+01 -2.906602e+01 -3.068720e+01 -2.753916e+01 -2.822430e+01 -2.662924e+01 -2.810660e+01 -2.435143e+01 -4.270889e+01 
-2.803351e+01 -2.947068e+01 -2.930020e+01 -1.979741e+01 -2.541105e+01 -2.863379e+01 -2.828042e+01 -2.575266e+01 -6.816049e+01 -3.504314e+01 
-2.990305e+01 -3.004433e+01 -2.990524e+01 -2.890951e+01 -2.807375e+01 -2.822430e+01 -2.907500e+01 -2.676088e+01 -3.488342e+01 -3.460509e+01 
-2.829449e+01 -2.815246e+01 -2.824125e+01 -2.938257e+01 -2.652467e+01 -2.863379e+01 -2.880800e+01 -2.818487e+01 -2.289971e+01 -2.506039e+01 
-2.780025e+01 -2.869972e+01 -2.825759e+01 -2.215801e+01 -2.955727e+01 -2.822430e+01 -2.570292e+01 -3.024955e+01 -5.538807e+01 -4.245351e+01 
-2.884376e+01 -2.944763e+01 -2.864251e+01 -2.491114e+01 -2.891306e+01 -3.163953e+01 -2.428460e+01 -2.664487e+01 -4.828797e+01 -5.276299e+01 
-2.949643e+01 -2.951903e+01 -2.892173e+01 -2.932946e+01 -2.798925e+01 -2.989945e+01 -2.559451e+01 -2.954300e+01 -3.031632e+01 -4.746886e+01 
-2.810418e+01 -2.869935e+01 -2.796320e+01 -2.416770e+01 -3.064894e+01 -3.032822e+01 -2.390596e+01 -2.860492e+01 -4.740618e+01 -5.037652e+01 
-2.830342e+01 -2.808223e+01 -2.830582e+01 -3.003689e+01 -2.842799e+01 -2.863379e+01 -2.977567e+01 -2.900000e+01 -1.974050e+01 -2.005278e+01 
-2.910473e+01 -2.908173e+01 -2.894566e+01 -2.927392e+01 -3.080820e+01 -2.989945e+01 -2.812156e+01 -2.934819e+01 -2.825467e+01 -3.357642e+01 
-2.889585e+01 -2.894998e+01 -2.853042e+01 -2.849768e+01 -2.834126e+01 -2.989945e+01 -2.610592e+01 -2.715011e+01 -3.084385e+01 -4.204202e+01 
-2.883468e+01 -2.914844e+01 -2.870625e+01 -2.667327e+01 -2.766635e+01 -2.905398e+01 -2.616408e+01 -2.830271e+01 -3.955759e+01 -4.288962e+01 
-2.926250e+01 -2.963749e+01 -2.886307e+01 -2.672562e+01 -3.007857e+01 -2.989945e+01 -2.466934e+01 -2.750220e+01 -4.188752e+01 -5.214645e+01 
-2.911016e+01 -2.870918e+01 -2.852702e+01 -3.236197e+01 -2.912983e+01 -2.905398e+01 -2.742790e+01 -3.075795e+01 -1.293233e+01 -3.467666e+01 
-2.841565e+01 -2.907861e+01 -2.844478e+01 -2.410509e+01 -2.642032e+01 -2.740941e+01 -2.490748e+01 -2.635931e+01 -4.960263e+01 -4.805885e+01 
-2.929915e+01 -2.914899e+01 -2.887711e+01 -3.043174e+01 -2.725853e+01 -2.989945e+01 -2.727101e+01 -2.888225e+01 -2.365010e+01 -3.788027e+01 
-2.945370e+01 -2.944368e+01 -2.865440e+01 -2.951980e+01 -2.803443e+01 -2.905398e+01 -2.437254e+01 -2.789831e+01 -2.908742e+01 -5.236536e+01 
-2.975543e+01 -2.961656e+01 -2.922127e+01 -3.079792e+01 -3.057629e+01 -3.076113e+01 -2.696074e+01 -2.823645e+01 -2.453256e+01 -4.191074e+01 
-2.965700e+01 -2.977586e+01 -2.952016e+01 -2.881322e+01 -3.068236e+01 -2.989945e+01 -2.801964e+01 -2.887703e+01 -3.387387e+01 -3.797494e+01 
-2.806838e+01 -2.880198e+01 -2.825666e+01 -2.334123e+01 -2.837266e+01 -3.032822e+01 -2.515372e+01 -2.840773e+01 -5.127470e+01 -4.546275e+01 
-2.849033e+01 -2.899438e+01 -2.856827e+01 -2.512265e+01 -2.769189e+01 -2.740941e+01 -2.611059e+01 -2.882859e+01 -4.509730e+01 -4.226775e+01 
-2.856964e+01 -2.896806e+01 -2.889086e+01 -2.585682e+01 -2.994091e+01 -2.946887e+01 -2.841136e+01 -2.913472e+01 -4.197536e+01 -3.153704e+01 
-2.881200e+01 -2.928170e+01 -2.913367e+01 -2.567823e+01 -2.776920e+01 -2.781506e+01 -2.824635e+01 -2.826530e+01 -4.433116e+01 -3.412989e+01 
-2.898058e+01 -2.940893e+01 -2.900769e+01 -2.610020e+01 -2.728882e+01 -2.781506e+01 -2.669800e+01 -2.736813e+01 -4.326879e+01 -4.193700e+01 
-2.973799e+01 -2.963681e+01 -2.928735e+01 -3.049106e+01 -3.037276e+01 -3.032822e+01 -2.726498e+01 -2.960598e+01 -2.596583e+01 -4.064436e+01 
-2.855574e+01 -2.917519e+01 -2.815714e+01 -2.450171e+01 -2.952416e+01 -2.946887e+01 -2.280203e+01 -2.903900e+01 -4.852745e+01 -5.765602e+01 
-3.028742e+01 -2.978171e+01 -2.886392e+01 -3.441268e+01 -2.811431e+01 -2.863379e+01 -2.401464e+01 -2.683374e+01 -9.493079e+00 -5.577409e+01 
-2.904221e+01 -2.936255e+01 -2.894405e+01 -2.684412e+01 -2.896360e+01 -2.946887e+01 -2.654081e+01 -2.851135e+01 -3.996325e+01 -4.238650e+01 
-2.871532e+01 -2.907418e+01 -2.874053e+01 -2.625747e+01 -2.895597e+01 -2.946887e+01 -2.678799e+01 -2.938324e+01 -4.088363e+01 -3.965813e+01 
-2.941972e+01 -2.952626e+01 -2.894547e+01 -2.865634e+01 -2.864083e+01 -2.946887e+01 -2.570184e+01 -3.006815e+01 -3.321519e+01 -4.703551e+01 
-2.885075e+01 -2.913147e+01 -2.866464e+01 -2.690441e+01 -3.211850e+01 -2.946887e+01 -2.599174e+01 -2.969216e+01 -3.851018e+01 -4.356524e+01 
-2.773874e+01 -2.784046e+01 -2.774944e+01 -2.699280e+01 -3.095755e+01 -2.946887e+01 -2.718436e+01 -3.002824e+01 -3.140329e+01 -3.089498e+01 
-2.987911e+01 -3.000048e+01 -2.922053e+01 -2.902176e+01 -2.971737e+01 -2.905398e+01 -2.502911e+01 -2.853134e+01 -3.417733e+01 -5.257480e+01 
-2.925002e+01 -2.870501e+01 -2.823453e+01 -3.382789e+01 -2.939618e+01 -2.946887e+01 -2.552832e+01 -2.970350e+01 -6.450625e+00 -4.326087e+01 
-2.839013e+01 -2.947878e+01 -2.874691e+01 -2.183299e+01 -2.561632e+01 -2.863379e+01 -2.474629e+01 -2.698213e+01 -6.056303e+01 -5.094895e+01 
-2.901005e+01 -2.952195e+01 -2.918511e+01 -2.562378e+01 -2.813875e+01 -2.905398e+01 -2.723592e+01 -3.045734e+01 -4.579734e+01 -4.013199e+01 
-3.000895e+01 -3.088300e+01 -2.994085e+01 -2.467163e+01 -2.790922e+01 -2.822430e+01 -2.504374e+01 -2.891100e+01 -5.661077e+01 -5.730677e+01 
-2.858111e+01 -2.822283e+01 -2.811719e+01 -3.147591e+01 -2.869919e+01 -2.989945e+01 -2.746656e+01 -2.970435e+01 -1.425179e+01 -3.174929e+01 
-2.921160e+01 -2.981357e+01 -2.859211e+01 -2.531820e+01 -2.802278e+01 -2.989945e+01 -2.240299e+01 -2.796500e+01 -4.854084e+01 -6.269689e+01 
-2.928488e+01 -2.880143e+01 -2.892565e+01 -3.326320e+01 -2.870605e+01 -2.989945e+01 -2.969725e+01 -2.810036e+01 -9.459019e+00 -2.450155e+01 
-2.875567e+01 -2.879263e+01 -2.858861e+01 -2.846726e+01 -2.953501e+01 -3.076113e+01 -2.735540e+01 -3.046632e+01 -3.015046e+01 -3.548955e+01 
-2.804881e+01 -2.860814e+01 -2.764624e+01 -2.432193e+01 -2.600081e+01 -2.740941e+01 -2.251164e+01 -2.806017e+01 -4.632265e+01 -5.584094e+01 
-2.974728e+01 -3.002172e+01 -2.934067e+01 -2.786652e+01 -3.094024e+01 -2.946887e+01 -2.562040e+01 -2.846860e+01 -3.915674e+01 -5.012221e+01 
-2.931832e+01 -2.926412e+01 -2.855250e+01 -2.970646e+01 -3.118416e+01 -3.076113e+01 -2.463826e+01 -2.889163e+01 -2.731473e+01 -5.024327e+01 
-2.916472e+01 -2.870633e+01 -2.830534e+01 -3.294015e+01 -3.025880e+01 -3.076113e+01 -2.597327e+01 -3.051940e+01 -1.037794e+01 -4.128008e+01 
-2.920716e+01 -3.046668e+01 -2.895110e+01 -2.192318e+01 -2.879557e+01 -2.822430e+01 -2.162337e+01 -2.884584e+01 -6.515771e+01 -6.926566e+01 
-2.895689e+01 -2.889599e+01 -2.846565e+01 -2.940490e+01 -2.707060e+01 -2.946887e+01 -2.597973e+01 -2.826510e+01 -2.670813e+01 -4.230873e+01 
-2.911505e+01 -2.874626e+01 -2.883952e+01 -3.208121e+01 -2.686990e+01 -2.905398e+01 -2.943252e+01 -2.728330e+01 -1.435625e+01 -2.547715e+01 
-2.916318e+01 -2.893405e+01 -2.853565e+01 -3.094497e+01 -2.748609e+01 -2.863379e+01 -2.622462e+01 -2.804960e+01 -2.029343e+01 -4.142035e+01 
-2.948468e+01 -2.885709e+01 -2.885464e+01 -3.484889e+01 -2.706522e+01 -2.946887e+01 -2.883938e+01 -2.810298e+01 -2.703031e+00 -2.894120e+01 
-2.861712e+01 -2.918545e+01 -2.876524e+01 -2.486572e+01 -2.951965e+01 -2.863379e+01 -2.635123e+01 -2.867165e+01 -4.712462e+01 -4.225826e+01 
-2.908419e+01 -2.945399e+01 -2.897774e+01 -2.657455e+01 -3.174475e+01 -2.905398e+01 -2.627104e+01 -3.109023e+01 -4.155419e+01 -4.410608e+01 
-2.877997e+01 -2.799094e+01 -2.842304e+01 -3.601110e+01 -2.706500e+01 -2.905398e+01 -3.139535e+01 -2.869221e+01 6.790753e+00 -1.168012e+01 
