sigma_18, sigma_D, sigma_17,  diff1,  diff2, diff2_17O,  divis,  diff3 
5.888018e-02 5.150712e-02 5.969851e-02 8.138920e-04 6.854984e-04 6.784079e-04 1.306784e+00 6.092774e-04 
5.932954e-02 5.304423e-02 6.024878e-02 7.063044e-04 6.646931e-04 7.776050e-04 1.251024e+00 6.281686e-04 
5.834944e-02 5.332343e-02 6.007185e-02 5.612685e-04 8.059285e-04 7.808345e-04 1.197394e+00 6.668162e-04 
5.849214e-02 5.194554e-02 5.969822e-02 7.229907e-04 6.793997e-04 7.963843e-04 1.267939e+00 5.723602e-04 
5.799878e-02 5.169821e-02 5.944100e-02 6.911535e-04 6.853371e-04 7.332720e-04 1.258597e+00 5.723602e-04 
5.927702e-02 4.964752e-02 5.917798e-02 1.048889e-03 5.561891e-04 8.008215e-04 1.425534e+00 5.723602e-04 
6.047174e-02 5.460142e-02 6.132201e-02 6.755166e-04 5.650189e-04 6.903214e-04 1.226583e+00 5.191476e-04 
5.652632e-02 5.143985e-02 5.777170e-02 5.491666e-04 6.419320e-04 7.453231e-04 1.207541e+00 5.906746e-04 
5.911233e-02 5.465491e-02 6.149292e-02 5.071089e-04 5.913422e-04 6.710344e-04 1.169763e+00 5.543342e-04 
5.954674e-02 5.293840e-02 6.092500e-02 7.433400e-04 5.131355e-04 6.391817e-04 1.265244e+00 6.092774e-04 
5.855236e-02 5.340966e-02 6.009024e-02 5.757863e-04 6.588536e-04 7.153127e-04 1.201847e+00 5.906746e-04 
5.719634e-02 5.194202e-02 5.865732e-02 5.734483e-04 6.749297e-04 7.381410e-04 1.212548e+00 6.092774e-04 
5.689767e-02 5.083553e-02 5.848802e-02 6.530931e-04 5.206153e-04 6.676231e-04 1.252720e+00 5.543342e-04 
5.912903e-02 5.231267e-02 5.964107e-02 7.596271e-04 7.160296e-04 7.633394e-04 1.277579e+00 6.092774e-04 
5.952642e-02 5.063129e-02 5.935058e-02 9.798681e-04 6.469655e-04 8.240484e-04 1.382234e+00 5.723602e-04 
5.888141e-02 5.333090e-02 5.984733e-02 6.228350e-04 6.076639e-04 7.091059e-04 1.218985e+00 5.906746e-04 
5.665590e-02 5.062342e-02 5.793472e-02 6.471602e-04 6.574445e-04 6.595108e-04 1.252528e+00 6.092774e-04 
5.860995e-02 5.273539e-02 6.114697e-02 6.541052e-04 6.640700e-04 7.372664e-04 1.235203e+00 5.543342e-04 
5.868255e-02 5.182968e-02 6.028324e-02 7.573259e-04 7.142441e-04 7.923712e-04 1.281920e+00 5.906746e-04 
5.683624e-02 5.129262e-02 5.860544e-02 5.994255e-04 5.641307e-04 7.427040e-04 1.227838e+00 5.723602e-04 
5.916598e-02 5.212592e-02 5.934450e-02 7.835017e-04 6.994690e-04 7.343116e-04 1.288358e+00 6.473482e-04 
5.928669e-02 5.268451e-02 5.917251e-02 7.392544e-04 5.390596e-04 7.071441e-04 1.266335e+00 5.543342e-04 
6.590987e-02 5.103646e-02 5.857397e-02 1.739391e-03 6.327885e-04 7.585290e-04 1.667784e+00 5.723602e-04 
5.864929e-02 5.302561e-02 5.968739e-02 6.280230e-04 6.108921e-04 7.100779e-04 1.223359e+00 5.906746e-04 
5.964699e-02 5.214413e-02 5.920768e-02 8.387540e-04 6.846187e-04 7.714127e-04 1.308478e+00 6.473482e-04 
5.737490e-02 5.213469e-02 5.969487e-02 5.738536e-04 6.606365e-04 7.587612e-04 1.211129e+00 5.543342e-04 
5.729366e-02 5.115040e-02 5.945669e-02 6.662006e-04 7.315524e-04 7.745155e-04 1.254628e+00 5.723602e-04 
5.852691e-02 5.139536e-02 5.948937e-02 7.839163e-04 7.459533e-04 7.627440e-04 1.296771e+00 5.906746e-04 
5.806106e-02 5.140443e-02 5.856772e-02 7.286718e-04 5.791574e-04 7.189468e-04 1.275760e+00 5.723602e-04 
5.837909e-02 5.224508e-02 6.034436e-02 6.785699e-04 5.969781e-04 7.207939e-04 1.248602e+00 5.723602e-04 
5.644017e-02 5.130811e-02 5.919223e-02 5.529709e-04 6.465754e-04 7.326959e-04 1.210054e+00 5.543342e-04 
5.736617e-02 5.167150e-02 5.875421e-02 6.209342e-04 6.213940e-04 7.264526e-04 1.232565e+00 5.906746e-04 
5.734209e-02 5.132854e-02 5.883620e-02 6.534959e-04 6.724014e-04 7.660261e-04 1.248042e+00 5.723602e-04 
5.900740e-02 5.220494e-02 5.968219e-02 7.565182e-04 6.907042e-04 8.167507e-04 1.277585e+00 6.473482e-04 
5.934637e-02 5.360930e-02 6.043041e-02 6.480354e-04 5.101928e-04 5.764527e-04 1.225485e+00 5.365967e-04 
5.835637e-02 5.214536e-02 5.884128e-02 6.863275e-04 6.875655e-04 7.381333e-04 1.252406e+00 5.906746e-04 
5.539360e-02 4.956486e-02 5.825715e-02 6.117750e-04 6.777300e-04 8.213263e-04 1.249026e+00 5.906746e-04 
5.672538e-02 5.051711e-02 5.853608e-02 6.657909e-04 5.882052e-04 8.027119e-04 1.260892e+00 6.092774e-04 
5.824667e-02 5.255873e-02 5.961674e-02 6.302547e-04 6.865793e-04 6.973279e-04 1.228153e+00 5.543342e-04 
5.687615e-02 5.206988e-02 5.953180e-02 5.236238e-04 6.228052e-04 7.683774e-04 1.193128e+00 5.723602e-04 
5.645572e-02 5.137411e-02 5.931531e-02 5.479487e-04 6.164895e-04 6.987744e-04 1.207611e+00 5.543342e-04 
5.943155e-02 5.368306e-02 6.060147e-02 6.502379e-04 6.705120e-04 8.173286e-04 1.225630e+00 5.906746e-04 
5.796341e-02 5.098180e-02 5.895070e-02 7.606130e-04 6.588454e-04 7.432072e-04 1.292640e+00 5.723602e-04 
5.835985e-02 5.301557e-02 5.983254e-02 5.952219e-04 6.050431e-04 7.775971e-04 1.211774e+00 5.543342e-04 
6.002853e-02 5.307771e-02 5.996578e-02 7.861809e-04 6.330542e-04 6.916465e-04 1.279060e+00 5.723602e-04 
5.688721e-02 5.080795e-02 5.802938e-02 6.547061e-04 7.381566e-04 7.250928e-04 1.253620e+00 5.906746e-04 
5.774447e-02 5.124662e-02 5.883262e-02 7.082077e-04 6.759405e-04 7.555823e-04 1.269668e+00 5.723602e-04 
5.722370e-02 5.051574e-02 5.758937e-02 7.227118e-04 6.838734e-04 7.401645e-04 1.283212e+00 6.281686e-04 
5.922989e-02 5.342735e-02 5.964522e-02 6.536987e-04 6.548446e-04 7.742217e-04 1.229008e+00 5.906746e-04 
5.728381e-02 5.295354e-02 6.007843e-02 4.773571e-04 5.970562e-04 7.058801e-04 1.170237e+00 5.365967e-04 
5.847610e-02 5.221500e-02 5.875289e-02 6.930487e-04 5.931353e-04 7.672015e-04 1.254199e+00 5.723602e-04 
5.864389e-02 5.114729e-02 5.902230e-02 8.230610e-04 6.850736e-04 7.631074e-04 1.314620e+00 5.543342e-04 
5.829181e-02 5.223697e-02 5.956536e-02 6.692342e-04 6.911631e-04 7.197821e-04 1.245257e+00 5.906746e-04 
5.973384e-02 5.388611e-02 6.097095e-02 6.644189e-04 6.863767e-04 8.306400e-04 1.228817e+00 6.092774e-04 
6.026745e-02 5.129955e-02 5.978617e-02 1.000523e-03 7.694294e-04 7.728580e-04 1.380189e+00 6.668162e-04 
5.732111e-02 5.078326e-02 5.959876e-02 7.067695e-04 6.947693e-04 7.579671e-04 1.274054e+00 6.281686e-04 
5.934879e-02 5.238096e-02 6.053517e-02 7.785145e-04 6.704417e-04 7.284362e-04 1.283739e+00 5.723602e-04 
5.802262e-02 5.132796e-02 6.116857e-02 7.320648e-04 7.251279e-04 8.147398e-04 1.277870e+00 6.092774e-04 
6.025270e-02 5.194474e-02 6.037836e-02 9.321318e-04 6.012715e-04 7.238263e-04 1.345457e+00 5.906746e-04 
5.818227e-02 5.229481e-02 6.024907e-02 6.504286e-04 6.781327e-04 6.754146e-04 1.237839e+00 5.906746e-04 
5.918279e-02 5.340232e-02 5.991002e-02 6.507943e-04 5.040674e-04 6.434207e-04 1.228204e+00 5.365967e-04 
5.843120e-02 5.146947e-02 5.894312e-02 7.650993e-04 5.428652e-04 6.627924e-04 1.288814e+00 5.723602e-04 
5.743660e-02 5.116719e-02 5.891472e-02 6.808814e-04 6.402989e-04 7.558391e-04 1.260069e+00 5.906746e-04 
5.736644e-02 5.122068e-02 5.882573e-02 6.673503e-04 6.775971e-04 7.437057e-04 1.254368e+00 5.723602e-04 
5.852417e-02 5.275173e-02 5.962866e-02 6.423328e-04 6.714309e-04 7.873404e-04 1.230827e+00 6.092774e-04 
5.864107e-02 5.298353e-02 6.093482e-02 6.315199e-04 7.301538e-04 8.025687e-04 1.224960e+00 5.906746e-04 
5.833760e-02 5.201010e-02 5.973781e-02 6.982246e-04 7.256264e-04 7.937172e-04 1.258119e+00 6.281686e-04 
5.652105e-02 5.074599e-02 5.760429e-02 6.194740e-04 6.181092e-04 7.528368e-04 1.240558e+00 6.092774e-04 
5.925415e-02 5.344516e-02 6.015118e-02 6.546698e-04 5.992752e-04 7.096082e-04 1.229195e+00 5.723602e-04 
6.053385e-02 5.523150e-02 6.234492e-02 6.138283e-04 6.811519e-04 6.844445e-04 1.201221e+00 6.281686e-04 
5.913262e-02 5.290543e-02 5.997042e-02 6.976827e-04 6.320453e-04 7.636202e-04 1.249263e+00 5.723602e-04 
5.921831e-02 5.310810e-02 6.056543e-02 6.863379e-04 6.193103e-04 6.730273e-04 1.243342e+00 5.723602e-04 
5.802266e-02 5.226180e-02 5.986410e-02 6.353342e-04 7.542079e-04 7.534482e-04 1.232613e+00 6.473482e-04 
5.676082e-02 5.188280e-02 5.907446e-02 5.299662e-04 6.016194e-04 7.911657e-04 1.196880e+00 5.723602e-04 
5.857402e-02 5.205637e-02 5.929569e-02 7.210497e-04 6.939958e-04 7.597214e-04 1.266083e+00 6.281686e-04 
5.734822e-02 5.140411e-02 5.857268e-02 6.464361e-04 6.171719e-04 7.592801e-04 1.244641e+00 5.723602e-04 
5.596437e-02 5.029219e-02 5.742158e-02 6.027067e-04 6.912660e-04 8.360483e-04 1.238290e+00 5.906746e-04 
5.654097e-02 5.042424e-02 5.812904e-02 6.542781e-04 7.998376e-04 7.069485e-04 1.257326e+00 5.906746e-04 
5.767451e-02 5.231260e-02 6.015020e-02 5.897406e-04 6.908051e-04 7.567392e-04 1.215501e+00 5.543342e-04 
5.840998e-02 5.108644e-02 5.840427e-02 8.019020e-04 6.802918e-04 6.922574e-04 1.307263e+00 6.092774e-04 
5.943708e-02 5.340125e-02 6.009317e-02 6.810733e-04 7.448331e-04 7.002217e-04 1.238831e+00 5.906746e-04 
5.806679e-02 5.160106e-02 5.885681e-02 7.090829e-04 6.660154e-04 7.168306e-04 1.266305e+00 6.281686e-04 
5.969531e-02 5.265820e-02 6.080050e-02 7.906450e-04 6.789612e-04 7.520442e-04 1.285134e+00 5.906746e-04 
5.910216e-02 5.141935e-02 5.962950e-02 8.491158e-04 6.828880e-04 6.926414e-04 1.321154e+00 5.906746e-04 
5.699947e-02 5.121391e-02 5.905278e-02 6.260749e-04 6.181097e-04 7.482223e-04 1.238699e+00 5.191476e-04 
5.611868e-02 5.123736e-02 5.731607e-02 5.240395e-04 6.115516e-04 7.290880e-04 1.199614e+00 5.906746e-04 
5.771304e-02 5.165195e-02 5.949708e-02 6.628720e-04 5.615368e-04 7.843664e-04 1.248460e+00 5.906746e-04 
5.640002e-02 5.096225e-02 5.734191e-02 5.838114e-04 6.843682e-04 7.796893e-04 1.224789e+00 5.906746e-04 
5.669767e-02 5.237520e-02 5.879011e-02 4.714634e-04 6.377356e-04 7.485805e-04 1.171869e+00 5.723602e-04 
5.866296e-02 5.142180e-02 5.937029e-02 7.971415e-04 7.085469e-04 7.735406e-04 1.301468e+00 6.281686e-04 
5.867600e-02 5.245514e-02 5.960968e-02 6.913308e-04 7.605422e-04 7.745448e-04 1.251252e+00 6.473482e-04 
5.762604e-02 5.097578e-02 5.883189e-02 7.222299e-04 6.931314e-04 7.498869e-04 1.277938e+00 6.281686e-04 
5.709078e-02 5.124787e-02 5.799202e-02 6.330128e-04 7.209967e-04 7.983987e-04 1.241024e+00 6.092774e-04 
6.005619e-02 5.280117e-02 5.970780e-02 8.187830e-04 6.764843e-04 7.085987e-04 1.293685e+00 6.281686e-04 
5.782946e-02 5.051861e-02 5.766333e-02 7.921169e-04 5.635720e-04 7.674204e-04 1.310375e+00 5.906746e-04 
5.712639e-02 5.009564e-02 5.837841e-02 7.538512e-04 5.764583e-04 7.176522e-04 1.300390e+00 5.906746e-04 
5.674589e-02 5.063473e-02 5.733774e-02 6.562195e-04 7.028980e-04 6.525421e-04 1.255948e+00 6.092774e-04 
5.726246e-02 5.034787e-02 5.917559e-02 7.440817e-04 6.969759e-04 8.250559e-04 1.293534e+00 6.281686e-04 
5.949713e-02 5.360343e-02 5.995829e-02 6.665815e-04 6.950857e-04 8.136533e-04 1.231989e+00 6.092774e-04 
5.814075e-02 5.189709e-02 5.855468e-02 6.870389e-04 5.964854e-04 5.769787e-04 1.255091e+00 5.906746e-04 
5.859607e-02 5.223821e-02 5.918293e-02 7.046693e-04 7.560381e-04 7.492863e-04 1.258231e+00 6.281686e-04 
5.736218e-02 5.277748e-02 5.819357e-02 5.049574e-04 6.291660e-04 7.989527e-04 1.181283e+00 5.723602e-04 
5.800780e-02 5.240865e-02 5.901187e-02 6.182387e-04 6.180876e-04 7.256094e-04 1.225087e+00 5.906746e-04 
5.995473e-02 5.225810e-02 6.009134e-02 8.636602e-04 6.064883e-04 7.701619e-04 1.316254e+00 5.723602e-04 
5.883944e-02 5.201027e-02 6.030722e-02 7.570118e-04 6.860104e-04 8.053003e-04 1.279849e+00 5.906746e-04 
5.765860e-02 5.126053e-02 6.004955e-02 6.968715e-04 7.187077e-04 7.341582e-04 1.265208e+00 5.906746e-04 
5.855192e-02 5.151959e-02 5.979261e-02 7.740590e-04 6.268403e-04 7.463787e-04 1.291628e+00 5.723602e-04 
5.868062e-02 5.219370e-02 5.933844e-02 7.192327e-04 6.621642e-04 7.585390e-04 1.264018e+00 5.906746e-04 
5.839599e-02 5.220075e-02 5.862717e-02 6.851734e-04 6.888517e-04 7.647215e-04 1.251447e+00 5.906746e-04 
5.795671e-02 5.166287e-02 5.880688e-02 6.899287e-04 6.755696e-04 7.478916e-04 1.258492e+00 5.723602e-04 
5.783259e-02 5.134185e-02 5.934390e-02 7.086226e-04 7.704924e-04 6.759331e-04 1.268826e+00 6.092774e-04 
5.540475e-02 5.034996e-02 5.748081e-02 5.345677e-04 6.362327e-04 7.834700e-04 1.210865e+00 5.906746e-04 
5.713175e-02 5.172025e-02 5.916251e-02 5.890528e-04 6.699414e-04 6.351286e-04 1.220208e+00 5.723602e-04 
5.683507e-02 5.149134e-02 5.923606e-02 5.788676e-04 6.662442e-04 7.632070e-04 1.218329e+00 5.723602e-04 
5.828071e-02 5.205632e-02 5.893836e-02 6.867803e-04 6.649587e-04 7.357042e-04 1.253438e+00 5.723602e-04 
5.784062e-02 5.438558e-02 6.064706e-02 3.877455e-04 6.951095e-04 7.192819e-04 1.131093e+00 6.473482e-04 
5.906769e-02 5.193891e-02 5.917459e-02 7.913416e-04 6.308344e-04 6.540885e-04 1.293345e+00 6.092774e-04 
5.714527e-02 5.142754e-02 5.859075e-02 6.207905e-04 6.385374e-04 7.335695e-04 1.234722e+00 5.723602e-04 
5.760072e-02 5.337890e-02 6.001578e-02 4.685359e-04 6.132440e-04 6.601697e-04 1.164439e+00 5.543342e-04 
5.852018e-02 5.322583e-02 6.002524e-02 5.916225e-04 6.158446e-04 6.364858e-04 1.208833e+00 5.543342e-04 
5.696679e-02 5.129062e-02 5.913014e-02 6.144869e-04 6.823377e-04 7.294727e-04 1.233581e+00 5.723602e-04 
5.725561e-02 5.249340e-02 5.866388e-02 5.226475e-04 8.172422e-04 8.725457e-04 1.189670e+00 6.473482e-04 
5.915410e-02 5.186519e-02 5.889606e-02 8.092096e-04 6.517536e-04 7.128873e-04 1.300822e+00 6.092774e-04 
5.785254e-02 5.010256e-02 5.855110e-02 8.366489e-04 6.109229e-04 8.112205e-04 1.333291e+00 6.092774e-04 
5.680990e-02 5.146380e-02 6.196130e-02 5.788419e-04 6.623097e-04 7.699903e-04 1.218553e+00 5.543342e-04 
5.725218e-02 5.065259e-02 5.918044e-02 7.121276e-04 7.242907e-04 7.842392e-04 1.277558e+00 6.092774e-04 
5.861820e-02 5.162252e-02 6.860021e-02 7.712091e-04 6.607864e-04 7.704079e-04 1.289397e+00 6.092774e-04 
5.675968e-02 5.241607e-02 5.928485e-02 4.742165e-04 6.955870e-04 7.274488e-04 1.172603e+00 6.092774e-04 
6.002038e-02 5.348912e-02 6.111992e-02 7.413603e-04 6.544509e-04 7.435614e-04 1.259118e+00 5.906746e-04 
5.975715e-02 5.167164e-02 5.989545e-02 9.009584e-04 7.125508e-04 7.874067e-04 1.337443e+00 6.281686e-04 
5.740509e-02 5.026034e-02 5.887790e-02 7.692420e-04 6.991701e-04 7.104189e-04 1.304517e+00 5.723602e-04 
5.583531e-02 5.182571e-02 5.867815e-02 4.316768e-04 6.981752e-04 7.520820e-04 1.160719e+00 5.723602e-04 
5.677254e-02 5.122534e-02 5.900793e-02 5.990866e-04 7.948723e-04 8.383727e-04 1.228307e+00 6.473482e-04 
5.824571e-02 5.150554e-02 5.959334e-02 7.397424e-04 6.676510e-04 7.306883e-04 1.278851e+00 6.092774e-04 
5.691856e-02 5.140859e-02 5.866023e-02 5.968791e-04 6.977725e-04 7.472502e-04 1.225847e+00 5.906746e-04 
5.812981e-02 5.230804e-02 5.940093e-02 6.429438e-04 6.096341e-04 7.372193e-04 1.234983e+00 5.543342e-04 
5.648875e-02 5.191987e-02 5.877323e-02 4.953051e-04 6.500401e-04 7.296211e-04 1.183741e+00 5.906746e-04 
5.835121e-02 5.202289e-02 5.967031e-02 6.984824e-04 6.599607e-04 7.383300e-04 1.258087e+00 5.906746e-04 
5.630714e-02 5.084897e-02 5.895301e-02 5.848759e-04 6.830634e-04 8.475174e-04 1.226204e+00 5.906746e-04 
6.113058e-02 5.373589e-02 6.182333e-02 8.494024e-04 5.438011e-04 7.425839e-04 1.294161e+00 5.723602e-04 
5.656742e-02 5.123852e-02 5.856420e-02 5.744876e-04 6.229468e-04 7.482588e-04 1.218820e+00 5.723602e-04 
5.890149e-02 5.244218e-02 5.954747e-02 7.192033e-04 5.586315e-04 7.329286e-04 1.261511e+00 5.543342e-04 
6.104288e-02 5.276915e-02 6.087488e-02 9.416502e-04 6.542388e-04 7.436860e-04 1.338166e+00 5.723602e-04 
5.444656e-02 4.982012e-02 5.635540e-02 4.823840e-04 6.686476e-04 5.942278e-04 1.194349e+00 6.092774e-04 
5.661074e-02 5.136873e-02 5.969062e-02 5.660297e-04 5.335767e-04 7.157383e-04 1.214507e+00 5.543342e-04 
5.710281e-02 5.012555e-02 5.786350e-02 7.481609e-04 5.664215e-04 6.639601e-04 1.297767e+00 5.723602e-04 
5.607510e-02 5.077627e-02 5.793727e-02 5.661868e-04 5.905375e-04 6.085001e-04 1.219603e+00 5.906746e-04 
5.693297e-02 5.155970e-02 5.822413e-02 5.829604e-04 6.284583e-04 7.160070e-04 1.219290e+00 5.723602e-04 
5.629601e-02 5.102685e-02 5.881263e-02 5.655022e-04 7.596573e-04 7.784762e-04 1.217189e+00 6.281686e-04 
5.851354e-02 5.278152e-02 5.958926e-02 6.379454e-04 6.680750e-04 7.842102e-04 1.228992e+00 6.092774e-04 
5.978105e-02 5.268054e-02 6.020622e-02 7.985346e-04 6.708893e-04 6.387971e-04 1.287735e+00 6.092774e-04 
